Curriculum,"Dance",,,,,,,,,
Degree Plan,"Dance",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"D 126","","",,,,2,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"D 121A","","",,,,2,"","",1
6,"A 121B","","",,,,3,"","",1
7,"D 226","","","2;5",,,2,"","",2
8,"D 286","","",,,,2,"","",2
9,"MATH","","",,,,3,"","",2
10,"DANCE REPERTORY 1","","",,,,2,"","",2
11,"DANCE TECHNIQUES A & B 1","","",,,,7,"","",2
12,"TH 163","","",,,,3,"","",3
13,"AUCC 3A","","",,,,4,"","",3
14,"DANCE REPERTORY 2","","",,,,2,"","",3
15,"DANCE TECHNIQUES A & B 2","","",,,,7,"","",3
16,"D 324","","",,,,2,"","",4
17,"D 326","","","7",,,3,"","",4
18,"ADVANCED WRITING","","","1",,,3,"","",4
19,"DANCE REPERTORY 3","","",,,,2,"","",4
20,"DANCE TECHNIQUES A & B 3","","",,,,5,"","",4
21,"AUCC 3B","","",,,,3,"","",5
22,"AUCC 3D","","",,,,3,"","",5
23,"AUCC 3C","","",,,,3,"","",5
24,"DANCE REPERTORY 4","","",,,,2,"","",5
25,"DANCE TECHNIQUES A & B 4","","",,,,8,"","",5
26,"D 427","","",,,,3,"","",6
27,"D 486","","",,,,1,"","",6
28,"DANCE ELECTIVE 1","","",,,,2,"","",6
29,"DANCE REPERTORY 5","","",,,,1,"","",6
30,"DANCE TECHNIQUES A & B 5","","",,,,6,"","",6
31,"D 424","","","16",,,3,"","",7
32,"D 434","","",,,,3,"","",7
33,"TH 263","","","12",,,3,"","",7
34,"DANCE ELECTIVE 2","","",,,,2,"","",7
35,"DANCE REPERTORY 6","","",,,,2,"","",7
36,"D 428","","",,,,3,"","",8
37,"D 471","","","17",,,3,"","",8
38,"AUCC 3E","","",,,,3,"","",8
39,"DANCE ELECTIVE 3","","",,,,2,"","",8
40,"DANCE REPERTORY 7","","",,,,1,"","",8
