Curriculum,"Engineering Science, Space Engineering Concentration",,,,,,,,,
Degree Plan,"Engineering Science, Space Engineering Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"5;1",,1,"","",1
3,"CIVE 102","","",,,,3,"","",1
4,"CO 150","","",,,,3,"","",1
5,"MATH 160","","",,,,4,"","",1
6,"CIVE 103","","","3",,,3,"","",2
7,"MATH 161","","","5",,,4,"","",2
8,"PH 141","","","5",,,5,"","",2
9,"AUCC 3E","","",,,,3,"","",2
10,"CIVE 260","","","5;8",,,3,"","",3
11,"MECH 201","","",,,,2,"","",3
12,"MATH 261","","","7",,,4,"","",3
13,"PH 142","","","7;8",,,5,"","",3
14,"AUCC 3D","","",,,,3,"","",3
15,"CIVE 261","","","10",,,3,"","",4
16,"ECE 204","","","7;13",,,3,"","",4
17,"MATH 340","","","12",,,4,"","",4
18,"MECH 337","","","8;12",,,4,"","",4
19,"CHEM 113","","","5;1",,,3,"","",5
20,"CHEM 114","","",,"19",,1,"","",5
21,"CIVE 360","","","10",,,3,"","",5
22,"MECH 307","","","16;17;15",,,4,"","",5
23,"MECH 342","","","17;8;18",,,4,"","",5
24,"AUCC 3B","","",,,,4,"","",5
25,"CIVE 367","","","21",,,3,"","",6
26,"MECH 301","","","23;21",,,2,"","",6
27,"ADVANCED WRITING","","","4",,,3,"","",6
28,"AUCC 3B","","",,,,3,"","",6
29,"AUCC 3C","","",,,,3,"","",6
30,"CIVE 402","","",,,,3,"","",7
31,"MECH 417","","","17;22",,,3,"","",7
32,"MECH 468","","","23;16;18",,,3,"","",7
33,"ELECTIVE 1","","",,,,3,"","",7
34,"ELECTIVE 2","","",,,,3,"","",7
35,"TECHNICAL ELECTIVE 1","","",,,,3,"","",7
36,"TECHNICAL ELECTIVE 2","","",,,,3,"","",7
37,"UD MATH 1","","",,,,3,"","",7
38,"CIVE 403","","","30",,,3,"","",8
39,"MECH 344","","","23",,,3,"","",8
40,"MECH 460","","","23",,,3,"","",8
41,"MECH 402","","","22",,,3,"","",8
42,"TECHNICAL ELECTIVE 3","","",,,,3,"","",8
43,"TECHNICAL ELECTIVE 4","","",,,,2,"","",8
44,"UD MATH 2","","",,,,3,"","",8
