Curriculum,"English, Creative Writing Concentration",,,,,,,,,
Degree Plan,"English, Creative Writing Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"AUCC 3B","","",,,,3,"","",1
3,"AUCC 3A","","",,,,3,"","",1
4,"MATHEMATICS","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"E 240","","",,,,3,"","",2
7,"SPCM 200","","",,,,3,"","",2
8,"AUCC 3B","","",,,,3,"","",2
9,"AUCC 3A","","",,,,4,"","",2
10,"ELECTIVE 2","","",,,,2,"","",2
11,"E 210","","",,,,3,"","",3
12,"E 270","","",,,,3,"","",3
13,"AUCC 3E","","",,,,3,"","",3
14,"AUCC 3C","","",,,,3,"","",3
15,"LIBERAL ARTS/HISTORY ELECTIVE","","",,,,3,"","",3
16,"E 276","","",,,,3,"","",4
17,"AUCC 3D","","",,,,3,"","",4
18,"PHILOSOPHY","","",,,,3,"","",4
19,"ENGLISH ELECTIVE","","",,,,3,"","",4
20,"ELECTIVE 3","","",,,,3,"","",4
21,"E 311A","","","11",,,3,"","",5
22,"E 341","","","6",,,3,"","",5
23,"UD ENGLISH/COMPOSITION 1","","",,,,3,"","",5
24,"ELECTIVE 4","","",,,,3,"","",5
25,"ELECTIVE 5","","",,,,3,"","",5
26,"CO 300","","",,,,3,"","",6
27,"SECOND FIELD COURSE 1","","",,,,3,"","",6
28,"UD ENGLISH/COMPOSITION 2","","",,,,3,"","",6
29,"ELECTIVE 6","","",,,,3,"","",6
30,"ELECTIVE 7","","",,,,3,"","",6
31,"E 460","","","22",,,3,"","",7
32,"SECOND FIELD COURSE 2","","",,,,3,"","",7
33,"SECOND FIELD COURSE 3","","",,,,3,"","",7
34,"UD ENGLISH/COMPOSITION 3","","",,,,3,"","",7
35,"UD ENGLISH/COMPOSITION 4","","",,,,3,"","",7
36,"E 412A","","","21",,,3,"","",8
37,"SECOND FIELD COURSE 4","","",,,,3,"","",8
38,"UD ENGLISH/COMPOSITION 5","","",,,,3,"","",8
39,"UD ENGLISH/COMPOSITION 6","","",,,,3,"","",8
40,"ELECTIVE 8","","",,,,3,"","",8
