Curriculum,"Environmental Horticulture, Nursery and Landscape Management Concentration",,,,,,,,,
Degree Plan,"Environmental Horticulture, Nursery and Landscape Management Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BUS 150","","",,,,3,"","",1
3,"HORT 100","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"ELECTIVE 1","","",,,,4,"","",1
8,"AREC 202","","","4",,,3,"","",2
9,"BZ 120","","",,,,4,"","",2
10,"CHEM 107","","","4",,,4,"","",2
11,"CHEM 108","","",,"10",,1,"","",2
12,"CO 150","","",,,,2,"","",2
13,"BZ 223","","","9",,,3,"","",3
14,"HORT 221","","",,,,4,"","",3
15,"SPCM 200","","",,,,3,"","",3
16,"AUCC 3B","","",,,,3,"","",3
17,"AUCC 3E","","",,,,3,"","",3
18,"HORT 260","","","9",,,4,"","",4
19,"SOCR 240","","","10",,,4,"","",4
20,"ADVANCED WRITING","","","12",,,3,"","",4
21,"AUCC 3D","","",,,,3,"","",4
22,"BSPM 302","","",,,,2,"","",5
23,"BSPM 303B","","",,"22",,1,"","",5
24,"HORT 310","","",,,,4,"","",5
25,"HORT 322","","",,,,3,"","",5
26,"HORT 341","","","3",,,3,"","",5
27,"AUCC 3B","","",,,,3,"","",5
28,"CHEM 245","","","10",,,4,"","",6
29,"HORT 321","","","9",,,4,"","",6
30,"HORT 331","","",,,,2,"","",6
31,"HORT 487","","",,,,3,"","",6
32,"ELECTIVE 2","","",,,,2,"","",6
33,"AREC 328","","","8",,,3,"","",7
34,"BSPM 308","","","9;10",,,3,"","",7
35,"HORT 464A","","","3;19",,,3,"","",7
36,"HORT 465","","","4;14;5;6",,,3,"","",7
37,"ELECTIVE 3","","",,,,3,"","",7
38,"BSPM 361","","","9",,,3,"","",8
39,"BZ 440","","","9",,,3,"","",8
40,"HORT 370","","","3",,,1,"","",8
41,"SOCR 370","","","3;19",,,2,"","",8
42,"ELECTIVE 4","","",,,,3,"","",8
43,"ELECTIVE 5","","",,,,3,"","",8
