Curriculum,"Fish, Wildlife, and Conservation Biology, Fisheries and Aquatic Sciences Concentration",,,,,,,,,
Degree Plan,"Fish, Wildlife, and Conservation Biology, Fisheries and Aquatic Sciences Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"BZ 110","","",,,,3,"","",1
3,"BZ 111","","",,"2",,1,"","",1
4,"PH 121","","",,,,5,"","",1
5,"FW 104","","",,,,3,"","",1
6,"BZ 120","","",,,,4,"","",2
7,"CHEM 107","","",,,,4,"","",2
8,"CHEM 108","","",,"7",,1,"","",2
9,"PH 122","","","4",,,5,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"BZ 220","","","2",,,3,"","",3
12,"FW 204","","",,,,3,"","",3
13,"MATH 155","","",,,,4,"","",3
14,"CHEM 245","","","7",,,4,"","",3
15,"CHEM 246","","","8","14",,1,"","",3
16,"FW 260","","","2",,,3,"","",4
17,"LIFE 320","","","13;2",,,3,"","",4
18,"SPCM 200","","",,,,3,"","",4
19,"STAT 301","","","13",,,3,"","",4
20,"AUCC 3C","","",,,,3,"","",4
21,"NR 220","","","13;2;3",,,5,"","",5
22,"FW 487","","",,,,4,"","",6
23,"GEOL 120","","",,,,3,"","",6
24,"GEOL 121","","",,"23",,1,"","",6
25,"CO 300","","","1",,,3,"","",6
26,"BSPM 302","","",,,,2,"","",6
27,"BSPM 303A","","",,"26",,2,"","",6
28,"PLANT BIOLOGY ELECTIVE","","",,,,3,"","",6
29,"FW 300","","","3",,,3,"","",7
30,"FW 301","","",,"29",,1,"","",7
31,"FW 370","","","13;16;17;19;21",,,3,"","",7
32,"NR 320","","",,,,3,"","",7
33,"BZ 214","","","2;3",,,4,"","",7
34,"AUCC 3E","","",,,,3,"","",7
35,"FW 401","","","13;29;19",,,3,"","",8
36,"FW 471","","","17",,,4,"","",8
37,"FW 472","","",,"36",,1,"","",8
38,"FW 400","","","29;17",,,3,"","",8
39,"HUMAN DIMENSIONS ELECTIVE","","",,,,2,"","",8
40,"FW 402","","","29",,,4,"","",9
41,"AUCC 3B","","",,,,3,"","",9
42,"ECOSYSTEM ELECTIVE","","",,,,2,"","",9
