Curriculum,"Horticulture, Horticultural Science Concentration",,,,,,,,,
Degree Plan,"Horticulture, Horticultural Science Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BZ 120","","",,,,4,"","",1
3,"CO 150","","",,,,3,"","",1
4,"CHEM 111","","",,,,4,"","",1
5,"CHEM 112","","",,"4",,1,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"CHEM 113","","","4",,,3,"","",2
8,"CHEM 114","","","5","7",,1,"","",2
9,"HORT 100","","",,,,4,"","",2
10,"MATH 126","","",,,,1,"","",2
11,"AUCC 3B","","",,,,3,"","",2
12,"AUCC 3C","","",,,,3,"","",2
13,"BUS 150","","",,,,3,"","",3
14,"PH 121","","",,,,5,"","",3
15,"SPCM 200","","",,,,3,"","",3
16,"AUCC 3E","","",,,,3,"","",3
17,"HORT 260","","","2",,,4,"","",4
18,"PH 122","","","14",,,5,"","",4
19,"AUCC 3D","","",,,,3,"","",4
20,"ADVANCED WRITING","","","3",,,3,"","",4
21,"CHEM 245","","","7",,,4,"","",5
22,"CHEM 246","","","5","21",,1,"","",5
23,"MATH 155","","",,,,4,"","",5
24,"SOCR 330","","","2",,,3,"","",5
25,"ELECTIVE 1","","",,,,3,"","",5
26,"BZ 440","","","2",,,3,"","",6
27,"SOCR 240","","","4",,,4,"","",6
28,"STAT 301","","","10",,,3,"","",6
29,"HORTICULTURE ELECTIVE 1","","",,,,3,"","",6
30,"HORTICULTURE ELECTIVE 2","","",,,,2,"","",6
31,"BZ 351","","","21",,,4,"","",7
32,"BSPM 302","","",,,,2,"","",7
33,"BSMP 303B","","",,,,1,"","",7
34,"HORT 310","","",,,,4,"","",7
35,"HORT 495","","",,,,3,"","",7
36,"HORTICULTURE ELECTIVE 3","","",,,,3,"","",7
37,"BSPM 361","","","2",,,3,"","",8
38,"HORT 454","","","9",,,2,"","",8
39,"HORT 476","","","26",,,3,"","",8
40,"HORTICULTURE ELECTIVE 4","","",,,,3,"","",8
41,"ELECTIVE 2","","",,,,2,"","",8
