Curriculum,"Mathematics, Mathematics of Information Concentration",,,,,,,,,
Degree Plan,"Mathematics, Mathematics of Information Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"CS 155","","",,,,1,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"MATH 192","","",,,,1,"","",1
5,"AUCC 3B","","",,,,3,"","",1
6,"AUCC 3C","","",,,,3,"","",1
7,"CS 156","","","2",,,1,"","",2
8,"ECE 103","","","3",,,3,"","",2
9,"MATH 161","","","3",,,4,"","",2
10,"AUCC 3E","","",,,,3,"","",2
11,"AUCC 3D","","",,,,3,"","",2
12,"ELECTIVE 1","","",,,,1,"","",2
13,"JTC 300","","","1",,,3,"","",3
14,"MATH 151","","","3",,,1,"","",3
15,"MATH 152","","","3",,,1,"","",3
16,"MATH 261","","","9",,,4,"","",3
17,"MATH 369","","","9",,,3,"","",3
18,"AUCC 3B","","",,,,3,"","",3
19,"ECE 202","","","9;8",,,4,"","",4
20,"MATH 158","","","3",,,1,"","",4
21,"MATH 235","","","9",,,2,"","",4
22,"MATH 340","","","16",,,3,"","",4
23,"STAT 315","","","3",,,3,"","",4
24,"ELECTIVE 2","","",,,,1,"","",4
25,"ECE 311","","","19;22",,,3,"","",5
26,"MATH 360","","",,,,3,"","",5
27,"AUCC 3A","","",,,,3,"","",5
28,"ELECTIVE 3","","",,,,3,"","",5
29,"ELECTIVE 4","","",,,,4,"","",5
30,"MATH 317","","","9;21",,,3,"","",6
31,"ELECTRICAL ENGINEERING/MATHEMATICAL SCIENCE ELECTIVE 1","","",,,,3,"","",6
32,"AUCC 3A","","",,,,4,"","",6
33,"ELECTIVE 5","","",,,,4,"","",6
34,"STAT 341","","","23",,,3,"","",7
35,"ELECTRICAL ENGINEERING/MATHEMATICAL SCIENCE ELECTIVE 2","","",,,,3,"","",7
36,"ELECTRICAL ENGINEERING/MATHEMATICAL SCIENCE ELECTIVE 3","","",,,,3,"","",7
37,"ELECTIVE 6","","",,,,3,"","",7
38,"ELECTIVE 7","","",,,,3,"","",7
39,"ECE 312","","","25",,,3,"","",8
40,"MATH 460","","","26;17",,,3,"","",8
41,"ELECTRICAL ENGINEERING/MATHEMATICAL SCIENCE ELECTIVE 4","","",,,,3,"","",8
42,"ELECTIVE 8","","",,,,3,"","",8
43,"ELECTIVE 9","","",,,,4,"","",8
