Curriculum,"Music, Performance Concentration, Organ Option",,,,,,,,,
Degree Plan,"Music, Performance Concentration, Organ Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MU 117","","",,,,3,"","",1
3,"MU 127","","",,,,1,"","",1
4,"MU 131","","",,,,3,"","",1
5,"MU 272H","","",,,,2,"","",1
6,"ENSEMBLE","","",,,,1,"","",1
7,"AUCC 3D","","",,,,3,"","",1
8,"MU 118","","","2",,,3,"","",2
9,"MU 128","","","3",,,1,"","",2
10,"MU 272H","","",,,,2,"","",2
11,"ENSEMBLE","","",,,,1,"","",2
12,"MATHEMATICS","","",,,,3,"","",2
13,"ELECTIVE 1","","",,,,4,"","",2
14,"MU 217","","","8",,,3,"","",3
15,"MU 227","","","9",,,1,"","",3
16,"MU 272H","","",,,,2,"","",3
17,"PSY 100","","",,,,3,"","",3
18,"ADVANCED WRITING","","","1",,,3,"","",3
19,"L*** FOREIGN LANGUAGE","","",,,,5,"","",3
20,"ENSEMBLE","","",,,,1,"","",3
21,"MU 218","","","14",,,3,"","",4
22,"MU 228","","","15",,,1,"","",4
23,"MU 272H","","",,,,2,"","",4
24,"L*** FOREIGN LANGUAGE","","",,,,5,"","",4
25,"ENSEMBLE","","","1",,,1,"","",4
26,"ELECTIVE 2","","",,,,4,"","",4
27,"MU 254","","","2",,,2,"","",5
28,"MU 317","","","21",,,2,"","",5
29,"MU 334","","","4;8",,,3,"","",5
30,"MU 417","","","21",,,3,"","",5
31,"MU 472H","","","5",,,2,"","",5
32,"ENSEMBLE","","",,,,1,"","",5
33,"AUCC 3B","","",,,,3,"","",5
34,"MU 318","","",,,,2,"","",6
35,"MU 335","","","4;8",,,3,"","",6
36,"MU 471","","",,,,1,"","",6
37,"MU 472H","","","5",,,2,"","",6
38,"ENSEMBLE","","",,,,1,"","",6
39,"ELECTIVE 3","","",,,,3,"","",6
40,"ELECTIVE 4","","",,,,2,"","",6
41,"MU 437","","",,,,2,"","",7
42,"MU 472H","","","5",,,2,"","",7
43,"ENSEMBLE","","",,,,1,"","",7
44,"AUCC 3A","","",,,,3,"","",7
45,"MUSIC ELECTIVE","","",,,,4,"","",7
46,"MU 468","","","41",,,2,"","",8
47,"MU 471","","",,,,1,"","",8
48,"AUCC 3E","","",,,,3,"","",8
49,"MU 472H","","","5",,,2,"","",8
50,"ENSEMBLE","","",,,,1,"","",8
51,"AUCC 3A","","",,,,3,"","",8
52,"ELECTIVE 5","","",,,,2,"","",8
