Curriculum,"Natural Sciences, Chemistry Education Concentration",,,,,,,,,
Degree Plan,"Natural Sciences, Chemistry Education Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"1",,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"LIFE 102","","",,,,4,"","",1
5,"MATH 155","","",,,,4,"","",1
6,"CHEM 113","","","5;1",,,3,"","",2
7,"CHEM 114","","","2","6",,1,"","",2
8,"LIFE 103","","","4",,,4,"","",2
9,"MATH 255","","","5",,,4,"","",2
10,"SCIENCE ELECTIVE 1","","",,,,3,"","",2
11,"CHEM 341","","","6",,,3,"","",3
12,"PH 121","","","5",,,5,"","",3
13,"STAT 301","","","5",,,3,"","",3
14,"AUCC 3B","","",,,,3,"","",3
15,"CHEM 261","","","6",,,3,"","",4
16,"CHEM 343","","","11",,,3,"","",4
17,"CHEM 344","","","7","16",,2,"","",4
18,"PH 122","","","12",,,5,"","",4
19,"ADVANCED WRITING","","","3",,,3,"","",4
20,"AA 100","","",,,,3,"","",5
21,"AA 101","","",,"20",,1,"","",5
22,"CHEM 334","","","7",,,1,"","",5
23,"CHEM 335","","","6","22",,3,"","",5
24,"EDUC 275","","",,,,3,"","",5
25,"EDUC 340","","",,,,3,"","",5
26,"AUCC 3D","","",,,,3,"","",5
27,"CHEM 473","","","9;6;18",,,4,"","",6
28,"EDUC 331","","","25;24",,,2,"","",6
29,"EDUC 350","","","25;24",,,3,"","",6
30,"EDUC 386","","","25;24",,,1,"","",6
31,"AUCC 3E","","",,,,3,"","",6
32,"SCIENCE ELECTIVE 2","","",,,,2,"","",6
33,"BC 351","","","4",,,4,"","",7
34,"EDUC 450","","","29;28;30",,,4,"","",7
35,"EDUC 460","","",,,,4,"","",7
36,"EDUC 486E","","",,,,1,"","",7
37,"AUCC 3B","","",,,,3,"","",7
38,"EDUC 485B","","","35;34",,,11,"","",8
39,"EDUC 493A","","","35;34","38",,1,"","",8
