Curriculum,"Restoration Ecology",,,,,,,,,
Degree Plan,"Restoration Ecology",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 120","","",,,,4,"","",1
2,"NR 193","","",,,,1,"","",1
3,"MATH 117","","",,,,1,"","",1
4,"MATH 118","","",,"3",,1,"","",1
5,"MATH 125","","",,"4",,1,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"ELECTIVE 1","","",,,,3,"","",1
8,"CHEM 107","","","3",,,4,"","",2
9,"CHEM 108","","",,"8",,1,"","",2
10,"CO 150","","",,,,3,"","",2
11,"AUCC 3B","","",,,,3,"","",2
12,"AUCC 3E","","",,,,3,"","",2
13,"BZ 223","","","1",,,3,"","",3
14,"RS 300","","","1",,,3,"","",3
15,"LAND 220","","","4;3;5;1",,,3,"","",3
16,"ELECTIVE 2","","",,,,4,"","",3
17,"SOCR 240","","","8",,,4,"","",4
18,"SPCM 200","","",,,,3,"","",4
19,"AREC 202","","","3",,,3,"","",4
20,"FW 104","","",,,,3,"","",4
21,"STAT 301","","","3",,,3,"","",4
22,"NR 220","","","4;1",,,5,"","",5
23,"BSPM 308","","","8;1",,,3,"","",6
24,"F 310","","","1",,,3,"","",6
25,"F 311","","","15",,,3,"","",6
26,"RS 312","","",,,,1,"","",6
27,"NR 319","","",,,,4,"","",6
28,"GR 304","","",,,,3,"","",7
29,"NR 320","","",,,,3,"","",7
30,"RS 378","","","15",,,2,"","",7
31,"BZ 440","","","1",,,3,"","",7
32,"SOCR 341","","",,,,1,"","",7
33,"CO 300","","","10",,,3,"","",7
34,"NR 479","","","25;15",,,2,"","",8
35,"RS 432","","","14;22;21",,,2,"","",8
36,"SOCR 410","","","1",,,1,"","",8
37,"SOCR 412","","","1",,,1,"","",8
38,"BZ 450","","","1",,,4,"","",8
39,"ELECTIVE 3","","",,,,4,"","",8
40,"ELECTIVE 4","","",,,,3,"","",8
41,"RS 452","","","14;15",,,3,"","",9
42,"RS 478","","","17;15",,,3,"","",9
43,"F 324","","","15",,,3,"","",9
44,"ELECTIVE 5","","",,,,3,"","",9
