EMPLID,ENTRY_IPEDS_FL_PT_TM,TRANSFER_STUDENT,GENDER_CD,FIRST_GENERATION_FLAG,PELL_RECIPIENT_FLAG,IPEDS_ETHNICITY_RPT_LD,POSTAL,ENTRY_TERM,DEPT_XD,ACAD_PLAN_XD,GRADUATED,DEGREE_GPA,YEARS_TO_COMPLETION,HS_GPA,SAT_COMP,GRADE_122A,GRADE_122B,GRADE_125,GRADE_129,Complexity,Graduated_In_4Y,Fulltime_Parttime,Pell_Recipent,First_Generation,GENDER,Graduated_In_5Y,Graduated_In_6Y
23080920,F,N,M,N,N,White,85741,2114,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,2.987,4.728767,3.63,,,,,B,558,0,1,0,0,1,1,1
23107742,F,N,M,N,Y,White,98045,2114,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.231,3.734247,3.78,1190,,,,B,558,1,1,1,0,1,1,1
23359513,F,N,M,N,N,White,85254,2164,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.108,3.731507,3.43,,B,B,,,558,1,1,0,0,1,1,1
23397091,F,N,M,N,N,White,85750,2174,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.991,3.731507,,1430,A,A,,A,558,1,1,0,0,1,1,1
23104152,F,N,M,Y,N,White,89002-8748,2114,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.228,3.734247,3.85,1470,,,,B,558,1,1,0,1,1,1,1
23101053,F,N,M,Y,N,White,85716,2114,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,2.938,3.734247,3.09,,,,,C,558,1,1,0,1,1,1,1
23133539,F,N,M,Y,N,White,86406,2124,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,2.823,5.726027,3.15,1240,A,B,,C,558,0,1,0,1,1,0,1
23292408,F,N,M,N,N,Two or more races,85745,2154,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.056,3.712329,3.68,,,,B,C,558,1,1,0,0,1,1,1
23239964,F,N,F,Y,N,White,85053,2144,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,2.908,3.712329,3.85,1340,,,C,B,558,1,1,0,1,0,1,1
23344653,F,N,M,N,N,White,90036,2164,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.458,3.731507,3.66,1240,,,C,C,558,1,1,0,0,1,1,1
23080930,F,N,M,Y,Y,Black or African American,85339,2114,[2305] Aerospace & Mechanical Engr,[AEEBSAEE] Aerospace Engineering,Y,3.09,4.728767,3.72,1110,,,,B,558,0,1,1,1,1,1,1
