Curriculum,Chemical Engineering,,,,,,,,,
Degree Plan,Chemical Engineering,,,,,,,,,
Institution,Louisiana State University,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0701,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry,CHEM,1201,,4,,3,,,1
2,BIOL for Science Majors,BIOL,1201,,4,,3,,,1
3,English Composition,ENGL,1001,,,,3,,,1
4,Differential and Integral Calculus,MATH,1550,,,,5,,,1
5,Intro to Chemical Engineerinng,CHE ,1100,,,,1,,,1
6,General Chemistry,CHEM,1202,1,,,3,,,2
7,General Chem Lab,CHEM,1212,,6,,2,,,2
8,Analytic Geometry and Calculus,MATH,1552,4,,,4,,,2
9,Particle Mechanics,PHYS,2110,4,8,,3,,,2
10,ILC Humanities,ILC,1000,,,,3,,,2
11,Chemical Engineering Fundamentals,CHE,2171,4;6;5,,,4,,,3
12,Multidimensional Calculus,MATH,2057,8,,,3,,,3
13,Elementary Differential Equations & Linear Algebra,MATH,2090,8,,,4,,,3
14,"Fields: Gravity, Electricity & Magnetism",PHYS,2113,9;8,,,3,,,3
15,ILC Humanities,ILC,1000,,,,3,,,3
16,Chemical Engineering Thermodynamics,CHE,2172,11;2;1;6;4;8;13;9;14,,,3,,,4
17,Numerical Methods and Programming for CHE,CHE,2176,11;2;1;6;4;8;13;9;14,,,4,,,4
18,Organic Chemistry,CHEM,2261,6,,,3,,,4
19,English Composition,ENGL,2000,3,,,3,,,4
20,Economic Principles,ECON,2030,,,,3,,,4
21,Transport Sciences: Momentum Transfer,CHE,3101,11;2;1;6;4;8;13;9;14,17,,3,,,5
22,Intro to Design and Process Safety,CHE,3171,17,21,23,3,,,5
23,Hetergoeneous Equilibrium,CHE,3173,16;17,,,3,,,5
24,Physical Chemistry,CHEM,3492,12;14;6,,,3,,,5
25,Materials of Engineering,ME,2733,1,14,,3,,,5
26,Transport Sciences: Heat and Mass Transfer,CHE,3102,17;21,,,4,,,6
27,Engineering Measurements Lab,CHE,3104,17,26,,3,,,6
28,Chemical Reaction Engineering,CHE,3190,23;24,26,,3,,,6
29,Organic Chemistry,CHEM,2262,18,,,3,,,6
30,Organic Chemistry Lab,CHEM,2364,7,29,,2,,,6
31,Independent Research,CHE,3900,11;17,,,3,,,6
32,Unit Operations Design,CHE,4151,26;22,,,4,,,7
33,Unit Operations Lab,CHE,4162,27,32,,3,,,7
34,Process Dynamics,CHE,4198,28,,,3,,,7
35,ILC Social Sciences,ILC,1000,,,,3,,,7
36,Industrial Catalysis,CHE,4210,,28,,3,,,7
37,Process Design,CHE,4172,32,34,,4,,,8
38,ILC Humanities,ILC,1000,,,,3,,,8
39,ILC Arts,ILC,1000,,,,3,,,8
40,Genetic Engineering,CHE,4220,11;2,,,3,,,8
41,Biochemical Engineering,CHE,4260,17,,,3,,,8
