Curriculum,Chemical Engineering (General Emphasis), B.S. in Chem. E.,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
97052,"CHEM 201","","",,"97056",,4,"","",
97053,"ECON 102","","",,,,3,"","",
97054,"ENG 101","","",,,,3,"","",
97055,"ENGR 100","","",,,,3,"","",
97056,"MATH 181","","",,,,4,"","",
97057,"CHEM 202","","","97056;97052",,,4,"","",
97058,"ENG 102","","","97054",,,3,"","",
97059,"MATH 182","","","97056",,,4,"","",
97060,"CHE 102","","","97056;97052",,,2,"","",
97061,"PHYS 180","","","97056",,,3,"","",
97062,"PHYS 180L","","",,"97061",,1,"","",
97063,"CH 201","","","97054",,,3,"","",
97064,"CHE 311","","","97052","97067",,3,"","",
97065,"CHEM 341","","","97057",,,3,"","",
97066,"MATH 283","","","97059",,,4,"","",
97067,"PHYS 181","","","97061;97059",,,3,"","",
97068,"PHYS 181L","","","97061;97062","97067",,1,"","",
97069,"CH 203","","","97054",,,3,"","",
97070,"CHE 332","","","97064;97056;97060;97057",,,3,"","",
97071,"ENGR 241","","","97061","97059",,3,"","",
97072,"MATH 285","","","97059",,,3,"","",
97073,"Fine Arts CO7","","",,,,3,"","",
97074,"CHE 245","","","157548;97059",,,3,"","",
97075,"CHEM 421","","",,,,3,"","",
97076,"ENGR 301","","","97069;97058;97067",,,3,"","",
97077,"ENGR 360","","","97052;97066;97071","97072",,3,"","",
97078,"Diversity & Equity CO10","","",,,,3,"","",
97079,"CHE 361","","","97064;97070;97075;97066",,,2,"","",
97080,"CHE 374","","","97077;97074",,,3,"","",
97081,"CHE 475","","","97052",,,3,"","",
97082,"CHEM 424","","","97075",,,2,"","",
97083,"STAT 352","","","97059",,,3,"","",
97084,"Technical Elective","","",,,,3,"","",
97085,"CHE 440","","","97079;97080",,,3,"","",
97086,"CHE 441","","","97077;97080;97060",,,1,"","",
97087,"CHE 450","","","97079;97080;97058;97063","97089",,3,"","",
97088,"CHE 473","","",,,,3,"","",
97089,"CHE 485","","","97079;97080",,,3,"","",
97090,"Technical Elective","","",,,,2,"","",
97091,"CHE 442","","","97060;97089",,,2,"","",
97092,"CHE 451","","","97079;97074;97086;97085",,,4,"","",
97093,"CHE 482","","","97087;97058;97060;97063;97085",,,3,"","",
97094,"ENGR 490","","",,,,0,"","",
97095,"Technical Elective","","",,,,6,"","",
157548,"MSE 250","","",,,,0,"","",
