Curriculum,Chemical Engineering - Bachelor of Science in Chemical Engineering,,,,,,,,
Institution,New Mexico State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,Semester,,,,,,,,
CIP,14.0701 - Chemical Engineering,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHME 101: Introduction to Chemical Engineering Calculations,CHME,101,,,,2,,
2,CHEM 1215G: General Chemistry I Lecture and Laboratory for STEM Majors,CHEM,1215G,,,,4,,
3,MATH 1511G: Calculus and Analytic Geometry I,MATH,1511G,,,,4,,
4,ENGL 1110G: Composition I,ENGL,1110G,,,,4,,
5,Area VI: Creative and Fine Arts Course ,,,,,,3,,
6,CHME 102: Material Balances,CHME,102,1,2,,2,,
7,CHEM 1225G: General Chemistry II Lecture and Laboratory for STEM Majors,CHEM,1225G,2,,,4,,
8,MATH 1521G: Calculus and Analytic Geometry II,MATH,1521G,3,,,4,,
9,PHYS 1310G: Calculus -Based Physics I,PHYS,1310G,3,,,3,,
10,PHYS 1310L: Calculus -Based Physics I Lab,PHYS,1310L,,9,,1,,
11,COMM 1115G: Introduction to Communication,COMM,1115G,,,,3,,
12,CHME 201: Energy Balances & Basic Thermodynamics,CHME,201,6;2;8,,,3,,
13,CHEM 313: Organic Chemistry I,CHEM,313,7,,,3,,
14,MATH 2530G: Calculus III,MATH,2530G,8,,,3,,
15,PHYS 1320G: Calculus -Based Physics II,PHYS,1320G,8;9,,,3,,
16,PHYS 1320L: Calculus -Based Physics II Lab,PHYS,1320L,10,15,,1,,
17,ENGL 2210G: Professional & Technical Communication,ENGL,2210G,4,,,3,,
18,CHME 303: Chemical Engineering Thermodynamics,CHME,303,12;14,23,,4,,
19,CHME 305: Transport Operations I: Fluid Flow,CHME,305,12;14;9,23,,3,,
20,I E 311: Engineering Data Analysis,I E,311,8,,,3,,
21,CHEM 314: Organic Chemistry II,CHEM,314,13,,,3,,
22,CHEM 315: Organic Chemistry Laboratory,CHEM,315,13,21,,2,,
23,MATH 392: Introduction to Ordinary Differential Equations,MATH,392,8,,,3,,
24,CHME 306: Transport Operations II: Heat and Mass Transfer,CHME,306,19;23,27,,4,,
25,CHME 323 L: Transport Operations and Instrumentation Laboratory I,CHME,323 L,20,24,,1,,
26,CHME 361: Engineering Materials,CHME,361,2,,,3,,
27,CHME 392: Numerical Methods in Engineering,CHME,392,,23,,3,,
28,CHEM 433: Physical Chemistry I,CHEM,433,8;15,,,3,,
29,CHME 307: Transport Operations III: Staged Operations,CHME,307,18;24,,,3,,
30,CHME 324 L: Transport Operations and Instrumentation Laboratory II,CHME,324 L,25,,,1,,
31,CHME 352 L: Simulation of Unit Operations,CHME,352 L,,29;32,,1,,
32,CHME 441: Chemical Kinetics and Reactor Engineering,CHME,441,13;18,29,,3,,
33,Area IV: Social/Behavioral Sciences Course,,,,,,3,,
34,Viewing A Wider World Course,,,,,,3,,
35,CHME 412: Process Dynamics and Control,CHME,412,32,,,3,,
36,CHME 423 L: Unit Operations Laboratory I,CHME,423 L,29;32;30,,,1,,
37,CHME 448: Industrial Safety,CHME,448,2,,,3,,
38,CHME 452: Chemical Process Design & Economic Evaluation,CHME,452,29;32,,,3,,
39,CHME 452 L: Chemical Process Simulation,CHME,452 L,31,38,,1,,
40,CHME Elective,,,,,,3,,
41,CHME 424 L: Process Control Laboratory,CHME,424 L,35;36,,,1,,
42,CHME 455: Chemical Plant Design,CHME,455,38,,,3,,
43,CHME 455 L: Chemical Plant Simulation,CHME,455 L,35;39,42,,1,,
44,CHME Elective,,,,,,3,,
45,I E 365: Quality Control,I E,365,20,,,3,,
46,Area V: Humanitites Course,,,,,,3,,
