Curriculum,Chemical Engineering,,,,,,,,
Institution,New Mexico State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0701 - Chemical Engineering,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,INTRO TO CHME CALC,CHME,101,,,,2,,
2,GEN CHEM I LEC+LAB CHEM MAJORS,CHEM,1216,,,,4,,
3,CALCULUS I,MATH,1511G,,,,4,,
4,COMPOSITION I,ENGL,1110G,,,,4,,
5,Area VI,,,,,,3,,
6,MATERIAL BALANCES,CHME,102,1,2,,2,,
7,GEN CHEM II LEC+LAB CHEM MAJRS,CHEM,1226,2,,,4,,
8,CALCULUS II,MATH,1521G,3,,,4,,
9,CALC-BASED PHYSICS I LECT + LAB,PHYS,1310G+L,3,,,4,,
10,INTRODUCTION TO COMMUNICATION,COMM,1115G,,,,3,,
11,ENERGY BALANCES & THERMO,CHME,201,6;2;8,,,3,,
12,ORGANIC CHEMISTRY I,CHEM,313,7,,,3,,
13,CALCULUS III,MATH,2530G,8,,,3,,
14,CALC-BASED PHYSICS II LECT + LAB,PHYS,1320G+L,9;8,,,4,,
15,PROFESSIONAL & TECHNICAL COMM,ENGL,2210G,4,,,3,,
16,CHME THERMO,CHME,303,11;13,21,,4,,
17,TRANS OPS I:FLUID FLOW,CHME,305,11;9;13,21,,3,,
18,ENGR DATA ANALYSIS,I E,311,8,,,3,,
19,ORGANIC CHEMISTRY II,CHEM,314,12,,,3,,
20,ORGANIC CHEMISTRY LAB,CHEM,315,12,19,,2,,
21,INTRO ORD DIFF EQS,MATH,392,8,,,3,,
22,TRANS OPS II:HEAT MASS TR,CHME,306,17;21,,,4,,
23,TRANSPORT/INSTR LAB I,CHME,323 L,18,22,,1,,
24,ENGINEERING MATERIALS,CHME,361,2,,,3,,
25,NUMERICAL METHODS,CHME,392,21,,,3,,
26,PHYSICAL CHEMISTRY I,CHEM,433,7;8;14,,,3,,
27,TRANS OPS III; STAGE OPS,CHME,307,16;22,,,3,,
28,TRANSPORT/INSTR LAB II,CHME,324 L,23,,,1,,
29,UNIT OP SIM,CHME,352 L,,27;30,,1,,
30,CHEM KINETIC REAC ENGR,CHME,441,12;16,27,,3,,
31,Area IV,,,,,,3,,
32,VWW,,,,,,3,,
33,PROCESS DYNAMICS & CONTROL,CHME,412,30,,,3,,
34,UNIT OPERATIONS LABORATORY I,CHME,423 L,27;28;30,,,1,,
35,INDUSTRIAL SAFETY,CHME,448,2,,,3,,
36,PROC DSGN ECON,CHME,452,27;30,,,3,,
37,CHEM PROC SIM,CHME,452 L,,36,,1,,
38,CHME Elective,,,,,,3,,
39,PROCESS CONTROL LABORATORY,CHME,424 L,33;34,,,1,,
40,CHEM PLANT DESIGN,CHME,455,36,,,3,,
41,CHEM PLANT SIM,CHME,455 L,33;37,40,,1,,
42,CHME Elective,,,,,,3,,
43,QUALITY CONTROL,I E,365,18,,,3,,
44,Area V,,,,,,3,,
