Curriculum,Chemical Engineering,,,,,,,,
Institution,New Mexico State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.07 - Chemical Engineering,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHME 101,,,,,,2,,
2,CHEM 1215 / CHEM 115,,,,,,4,,
3,MATH 1511G / MATH 191G,,,,,,4,,
4,ENGL 1110G / ENGL 111G,,,,,,4,,
5,Area VI,,,,,,3,,
6,CHME 102,,,,1;2,,2,,
7,CHEM 1225 / CHEM 116,,,2,,,4,,
8,MATH 1521G / MATH 192G,,,3,,,4,,
9,PHYS 1310G+L / PHYS 215G+L,,,3,,,4,,
10,COMM 1115G / COMM 265G,,,,,,3,,
11,CHME 201,,,6;2;3,,,3,,
12,CHEM 313c / CHEM 313,,,7,,,3,,
13,MATH 2530G / MATH 291G,,,8,,,3,,
14,PHYS 1320G+L / PHYS 216G+L,,,9;8,,,4,,
15,ENGL 2210G / ENGL 218G,,,4,,,3,,
16,CHME 303,,,11;13,21,,4,,
17,CHME 305,,,11,8,,3,,
18,I E 311,,,8,,,3,,
19,CHEM 314,,,12,,,3,,
20,CHEM 315,,,12,19,,2,,
21,MATH 392,,,8,,,3,,
22,CHME 306,,,17;21,,,4,,
23,CHME 323L,,,16;18,,,2,,
24,CHME 361,,,,,,3,,
25,CHME 392,,,21,,,3,,
26,CHEM 433ce,,,7;8;14,,,3,,
27,CHME 307,,,16,,,3,,
28,CHME 352L,,,,27;29,,1,,
29,CHME 441,,,12;16;25,27,,3,,
30,Area IV,,,,,,3,,
31,VWW,,,,,,3,,
32,CHME 412,,,25;13,29,,3,,
33,CHME 423L,,,23;27;29,,,2,,
34,CHME 448,,,2,,,3,,
35,CHME 452,,,26;29,,,3,,
36,CHME 452L,,,,35,,1,,
37,CHME Elective,,,,,,3,,
38,CHME 455,,,35,,,3,,
39,CHME 455L,,,32;36,38,,1,,
40,CHME Elective,,,,,,3,,
41,I E 365,,,18,,,3,,
42,Area V,,,,,,3,,
