Curriculum,Chemical Engineering,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
3239,"MATH 1220","","","153273",,,4,"","",
3240,"CHEM 1100","","","153272",,,3,"","",
3241,"CHEM 1110","","","153272","3240",,1,"","",
3242,"CHEG 1010","","",,"3243;3241",,3,"","",
3243,"IEE 1020","","",,,,3,"","",
3244,"AREA 1","","",,,,3,"","",
3245,"MATH 1230","","","3239",,,4,"","",
3246,"PHYS 2050","","","3239",,,4,"","",
3247,"PHYS 2060","","","3239","3246",,1,"","",
3248,"CHEM 1120","","","3240;3241","3249",,3,"","",
3249,"CHEM 1130","","","3240;3241",,,1,"","",
3250,"CHEG 1810","","","153273;3242",,,2,"","",
3251,"AREA 3","","",,,,3,"","",
3252,"MATH 2720","","","3245",,,4,"","",
3253,"PHYS 2070","","","3245;3246",,,4,"","",
3254,"PHYS 2080","","","3245;3246","3253",,1,"","",
3255,"CHEG 2810","","","3250",,,1,"","",
3256,"IEE 2610","","","3239",,,3,"","",
3257,"ELECTIVE 1","","",,,,4,"","",
3258,"MATH 3740","","","3252",,,4,"","",
3259,"BIOS 1610","","",,,,4,"","",
3260,"CHEG 2611","","","3245;3240",,,3,"","",
3261,"CHEG 2960","","","3240;3246",,,4,"","",
3262,"ELECTIVE 2","","",,,,4,"","",
3263,"CHEM 4300","","","3252;3246;3247;3248;3249;3254;3253",,,3,"","",
3264,"CHEG 3110","","","3261",,,3,"","",
3265,"CHEG 3200","","","3248;3261;3249",,,3,"","",
3266,"CHEG 3810","","","3261",,,1,"","",
3267,"ECON 2010","","",,,,3,"","",
3268,"AREA 8","","",,,,2,"","",
3269,"CHEM 3750","","","3248;3249",,,3,"","",
3270,"CHEM 3760","","","3248;3249","3269",,1,"","",
3271,"CHEG 3120","","","3264",,,3,"","",
3272,"CHEG 3300","","",,,,3,"","",
3273,"CHEG 3550","","","153274;3261",,,3,"","",
3274,"AREA 2","","",,,,3,"","",
3275,"CHEM 3770","","","3270;3269","3276",,3,"","",
3276,"CHEM 3780","","","3270;3269",,,1,"","",
3277,"CHEG 4100","","","3265",,,3,"","",
3278,"CHEG 4600","","","3271;3266;3272",,,3,"","",
3279,"CHEG 4830","","","3258;3271;3253",,,4,"","",
3280,"ELECTIVE 3","","",,,,3,"","",
3281,"CHEG 4810","","","3271;3272;3256",,,2,"","",
3282,"CHEG 4870","","","3278",,,3,"","",
3283,"CHEG 4400","","","3271",,,1,"","",
3284,"ELECTIVE 4","","",,,,3,"","",
3285,"ELECTIVE 5","","",,,,3,"","",
3286,"AREA 4","","",,,,4,"","",
153272,"MATH 1110","","",,,,0,"","",
153273,"MATH 1180","","",,,,0,"","",
153274,"BIOS 1500","","",,,,0,"","",
