Curriculum,Chemical Engr,,,,,,,,,
Institution,,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
63250,"CHE 110","","",,,,1,"","",
63251,"CHE 123","","","154935",,,2,"","",
63252,"CHEM 111","","","154936;154937;154935",,,3,"","",
63253,"CHEM 111L","","",,"63252",,1,"","",
63254,"ENGL 102","","","154938",,,3,"","",
63255,"MATH 170","","","154939;154935",,,4,"","",
63256,"ISEM 101","","",,,,3,"","",
63257,"CHEM 112","","","63252;63253",,,4,"","",
63258,"CHEM 112L","","","154940",,,1,"","",
63259,"MATH 175","","","63255",,,4,"","",
63260,"PHYS 211","","","63255",,,3,"","",
63261,"CS 120","","","154941",,,3,"","",
63262,"HUMANITIES","","",,,,3,"","",
63263,"CHEM 277","","","63257;154942",,,3,"","",
63264,"CHEM 278","","",,"63263",,1,"","",
63265,"ENGR 210","","","63255",,,3,"","",
63266,"MATH 275","","","154943",,,3,"","",
63267,"PHYS 212","","","63260;154934","63259",,3,"","",
63268,"CHE 210","","","63250;63251",,,1,"","",
63269,"ECONOMICS ELECTIVE","","",,,,3,"","",
63270,"CHEM 372","","","63263",,,3,"","",
63271,"CHEM 374","","","63264","63270",,1,"","",
63272,"CHE 223","","","63259;63257;63258",,,3,"","",
63273,"ENGR 320","","",,,,3,"","",
63274,"ENGR 335","","","63266;63265",,,3,"","",
63275,"MATH 310","","","63259",,,3,"","",
63276,"CHEM 305","","","63266;63257;63258",,,3,"","",
63277,"CHEM 307","","",,"63276",,1,"","",
63278,"CHE 326","","","63273;63274;63275;63272","63276",,3,"","",
63279,"CHE 340","","","63274;63275;63272",,,4,"","",
63280,"ENGR 240","","","63260;63259;154934",,,3,"","",
63281,"MATH ELECTIVE","","",,,,3,"","",
63282,"CHE 330","","","63278;63276",,,3,"","",
63283,"CHE 341","","","63279",,,4,"","",
63284,"CHE 423","","","63275;63272;63276",,,3,"","",
63285,"COMMUNICATION","","",,,,2,"","",
63286,"ISEM 301","","","63254",,,1,"","",
63287,"HUMANITIES","","",,,,3,"","",
63288,"CHE 433","","","63282;63284;63283",,,1,"","",
63289,"CHE 444","","","63272;154944",,,3,"","",
63290,"CHE 453","","","63282;63284;63283",,,3,"","",
63291,"CHE 491","","",,,,1,"","",
63292,"AMERICAN DIVERSITY","","",,,,3,"","",
63293,"CHEMISTRY ELECTIVE","","",,,,3,"","",
63294,"CHE 434","","","63282;63284;63283",,,1,"","",
63295,"CHE 454","","","63290",,,3,"","",
63296,"SOCIAL SCIENCE","","",,,,3,"","",
63297,"ELECTIVE 1","","",,,,3,"","",
63298,"ELECTIVE 2","","",,,,3,"","",
63299,"INTERNATIONAL","","",,,,3,"","",
154934,"PHYS 211L","","",,,,0,"","",
154935,"MATH 143","","",,,,0,"","",
154936,"CHEM 101","","",,,,0,"","",
154937,"MATH 160","","",,,,0,"","",
154938,"ENGL 101","","",,,,0,"","",
154939,"MATH 144","","",,,,0,"","",
154940,"CHEM 112 ","","",,,,0,"","",
154941,"CS 112","","",,,,0,"","",
154942,"CHEM 112L ","","",,,,0,"","",
154943,"MATH 175 ","","",,,,0,"","",
154944,"MATH 310 ","","",,,,0,"","",
