Curriculum,Mechanical Engineering,,,,,,,,
Institution,University of Maryland Baltimore County,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.07 - Chemical Engineering,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHEM 101,CHEM,101,,,,4,,
2,MATH 151,MATH,151,,,,4,,
3,ENES 101,ENES,101,,,,3,,
5,CHEM 102,CHEM,102,1,,,4,,
6,CHEM 102L,CHEM,102L,1,5,,2,,
7,PHYS 121,PHYS,121,,2,,4,,
8,MATH 152,MATH,152,2,,,4,,
10,ENCH 215,ENCH,215,5;3,,,3,,
11,CHEM 351,CHEM,351,5,,,3,,
12,MATH 251,MATH,251,8,,,4,,
13,PHYS 122,PHYS,122,7,8,,4,,
14,ENCH 225,ENCH,225,10,,,4,,
16,MATH 225,MATH,225,8,,,3,,
17,ENCH 300,ENCH,300,11;12;10,,,3,,
18,ENCH 425,ENCH,425,16;10,,,3,,
21,ENCH 427,ENCH,427,18,,,3,,
22,ENCH 440,ENCH,440,18;17,,,3,,
23,ENCH 442,ENCH,442,18;16;14;17,,,3,,
25,ENCH 444,ENCH,444,21;22,,26,3,,
26,ENCH 445,ENCH,445,21,,,3,,
29,ENCH 446,ENCH,446,26;25,23,,3,,
