Curriculum,Chemical Engineering,,,,,,,,
Institution,Bucknell University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
132506,ENGR 100,,,,,,1,,
132507,MATH 201,,,,,,1,,
132508,PHYS 211,,,,132507,,1,,
132509,W1 Course,,,,,,1,,
132510,CHEM 205,,,,,,1,,
132511,CHEG 200,,,132507,,,1,,
132512,MATH 202,,,132507,,,1,,
132513,ENGR 211,,,,132511;159621;159620;132512,,1,,
132514,CHEG 101,,,,,,0,,
132515,Elective 1,,,,,,1,,
132516,CHEM 233,,,132510;159622,,,1,,
132517,ENGR 240,,,159623,,,1,,
132518,MATH 211,,,132512,,,1,,
132519,CHEG 302,,,132511,,,1,,
132520,Elective 2,,,,,,1,,
132521,CHEM 211,,,159624,,,1,,
132522,CHEG 210,,,132518,,,1,,
132523,ENGR 215,,,,,,0,,
132524,ENGR 233,,,,159625,,1,,
132525,CHEG 102,,,,,,0,,
132526,Elective 3,,,,,,1,,
132527,CHEM 212,,,132521,,,1,,
132528,CHEM 343,,,132518;132508;159626,,,1,,
132529,CHEG 300,,,132511;132524;159627,,,1,,
132530,Elective 4,,,,,,1,,
132531,CHEG 310,,,159628;132519,,,1,,
132532,CHEG 315,,,132529;132519,132531,,0,,
132533,CHEG 103,,,,,,0,,
132534,Elective 5,,,,,,1,,
132535,Elective 6,,,,,,1,,
132536,Elective 7,,,,,,1,,
132537,CHEG 320,,,159628;159627;132531,,,1,,
132538,CHEG 400,,,132532;132529;132531,,,1,,
132539,Elective 8,,,,,,1,,
132540,Elective 9,,,,,,1,,
132541,CHEG 330,,,132529;159627,,,1,,
132542,CHEG 410,,,132538,,,1,,
132543,CHEG 104,,,,,,0,,
132544,Elective 10,,,,,,1,,
132545,Elective 11,,,,,,1,,
159620,ENGR 211L,,,,,,0,,
159621,ENGR 211R,,,,,,0,,
159622,CHEM 207,,,,,,0,,
159623,CHEM 203 or CHEM 205 or CHEM 207,,,,,,0,,
159624,CHEM 205 or CHEM 207,,,,,,0,,
159625,CHEG 210 or MATH 212,,,,,,0,,
159626,CHEM 231,,,,,,0,,
159627,CHEG 210/MATH 212,,,,,,0,,
159628,CHEM 341/CHEM 343,,,,,,0,,
