Curriculum,Chemical Engineering,,,,,,,,
Institution,Cal Poly Pomona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,CHE 1311 Introduction to Chemical Engineering,CHE,1311,,,,1,,
2,CHE 1411L Introduction to Chemical Engineering Laboratory,CHE,1411L,,,1,1,,
3,MAT 1140 Calculus I (B4),MAT,1140,,,,4,,
4,CHM 1210 General Chemistry I (B1),CHM,1210,,,,3,,
5,CHM 1210L General Chemistry Laboratory I (B3),CHM, 1210L,,,4,1,,
6,GE Area A2:  Written Communication,GE,A2,,,,3,,
7,GE Area E:  Lifelong Learning and Self-Development,GE,E,,,,3,,
8,CHE 1321 Chemical and Materials Engineering Analysis,CHE,1321,1;2,,,1,,
9,CHE 1421L Chemical and Materials Engineering Analysis Laboratory,CHE ,1421L,1;2,,8,1,,
10,MAT 1150 Calculus II (B4),MAT,1150,3,,,4,,
11,CHM 1220 General Chemistry II (B1),CHM,1220,4;5,,,3,,
12,CHM 1220L General Chemistry Laboratory II (B3),CHM,1220L,4;5,,11,1,,
13,PHY 1510 Introduction to Newtonian Mechanics (B1),PHY,1510,3,,,3,,
14,PHY 1510L Newtonian Mechanics Laboratory (B3),PHY,1510L,,,13,1,,
15,GE Area A1:  Oral Communication,GE,A1,,,,3,,
16,CHE 2011 Material and Energy Balances I,CHE,2011,4;10,,,2,,
17,GE Area B2:  Life Sciences,GE,B2,,,,2,,
18,CHM 2010 Elements of Organic Chemistry,CHM,2010,11;12,,,3,,
19,CHM 2010L Elements of Organic Chemistry Laboratory,CHM,2010L,11;12,,18,1,,
20,MAT 2140 Calculus III,MAT,2140,10,,,4,,
21,PHY 1520 Introduction to Electromagnetism and Circuits,PHY,1520,10;14,,,3,,
22,PHY 1520L Introductory Laboratory on Electromagnetism and Circuits,PHY,1520L,,,21,1,,
23,CHE 2021 Material and Energy Balances II,CHE,2021,16;3,,,2,,
24,CHE 2301 Process and Automation,CHE,2301,21;20;16,,,2,,
25,CHE 2301L Process and Automation Laboratory,CHE ,2301L,21;20;16,,24,1,,
26,MAT 2240 Elementary Linear Algebra and Differential Equations,MAT,2240,,,,3,,
59,CHE 2851 Applied Mathematics in Chemical and Materials Engineering,CHE,2851,3;16,26,,2,,
27,MTE 2070 Materials Science and Engineering,MTE,2070,4;13;10,,,2,,
28,GE Area F:  Ethnic Studies,GE,F,,,,3,,
29,CHE 3021 Chemical Engineering Thermodynamics I,CHE,3021,27;26;21;23,,,3,,
30,CHE 3111 Transport Phenomena I,CHE,3111,23;59;21;27,,,3,,
31,CHE 3221L Transport Laboratory I,CHE,3221L,23;8,,,1,,
32,EGR 4810 Project Design Principles and Applications (B5),EGR ,4810,15;6;17,,,1,,
33,EGR 4820 Project Design Principles and Applications (B5),EGR ,4820,15;6;17,,,1,,
34,MTE 3170L Materials Science and Engineering Laboratory,MTE,3170L,4;13;10,27,,1,,
35,"GE Area C2:  Literature, Modern Languages, Philosophy and Civilization",GE,C2,,,,3,,
36,GE Area C1 or GE Area C2,GE,C1/C2,,,,3,,
37,CHE 3031 Chemical Engineering Thermodynamics II,CHE,3031,29,,,2,,
38,CHE 3121 Transport Phenomena II,CHE,3121,30,,,4,,
39,CHE 3331L Transport Laboratory II,CHE ,3333L,30,31,,1,,
40,EGR 4830 Project Design Principles and Applications (B5),EGR,4830,15;6;17,,,1,,
41,CHE 4631 Undergraduate Research Project,CHE,4631,32,,,1,,
42,CHE 3040 Kinetics & Reactor Design,CHE ,3040,29,,,3,,
43,GE Area C1:  Visual and Performing Arts,GE,C1,,,,3,,
44,GE Area D2:  U.S. Constitution and California Government,GE,D2,,,,3,,
45,GE Area D1:  U.S. History American Ideals,GE,D1,,,,3,,
46,MTE 4010 Corrosion And Materials Degradation,MTE,4010,37;27;34,,,2,,
47,MTE 4010L Corrosion And Materials Degradation Laboratory,MTE,4010L,37;27;34,46,,1,,
48,CHE 4251 Unit Operations and Pollution Abatement,CHE ,4251,38;42;18,,,2,,
49,CHE 4450 Chemical Process Synthesis and Design I,CHE,4450,42;38,,,3,,
50,CHE 4450L Chemical Process Synthesis and Design I Laboratory,CHE,4450L,42;38,,49,1,,
51,GE Area C3:  Arts and Humanities Synthesis,GE,C3,15;6;43;35;36,,,3,,
52,CHE 4801A Professional Development and Case Studies in Chemical and Materials Engineering Activity,CHE,4801A,49;50,,,1,,
53,CHE 4260 Process Controls,CHE,4260,24;39,,,2,,
54,CHE 4361L Unit Operation and Process Control Laboratory,CHE,4361L,24;39,,,1,,
55,CHE 4451 Chemical Process Synthesis and Design II,CHE,4451,49;50,,,3,,
56,CHE 4451L Chemical Process Synthesis and Design II Laboratory,CHE,4451L,49;50,,55,1,,
57,Major Electives,MTE/CHE,,27,,,3,,
58,GE Area D4:  Social Science Synthesis,GE,D4,15;6;44;45,,,3,,
