Curriculum,BS Chemical Engineering,,,,,,,,
Institution,Montana State University,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
46945,ECHM 100,,,,,,2,,
46946,M 171,,,,,,4,,
46947,GEIA 100,,,,,,3,,
46948,GEUS 100,,,,,,3,,
46949,CHMY 141,,,,,,4,,
46950,M 172,,,46946,,,4,,
46951,GE_W 100,,,,,,3,,
46952,GEIH 100,,,,,,3,,
46953,CHMY 143,,,46949,,,4,,
46954,EGEN 102,,,,46946,,3,,
46955,CHMY 211,,,46953,,,5,,
46956,M 273,,,46950,,,4,,
46957,PHSX 220,,,,46946,,4,,
46958,ECHM 201,,,46946;46949,,,4,,
46959,ECHM 321,,,46958;46956,46961,,3,,
46960,EMAT 251,,,46949,46946,,3,,
46961,M 274,,,46950,,,4,,
46962,PHSX 222,,,46946;46957,46950,,4,,
46963,GEIS 100,,,,,,3,,
46964,ECHM 307,,,46958;46956,,,3,,
46965,ECHM 322,,,46958;46954,46959,,3,,
46966,EGEN 350,,,46950,,,2,,
46967,TECH 101,,,,,,5,,
46968,GE_D 100,,,,,,3,,
46969,EBIO 438,,,46958,,,3,,
46970,EGEN 310,,,,,,3,,
46971,ECHM 328,,,46958;46961,,,3,,
46972,TECH 102,,,,,,3,,
46973,ECHM 323,,,46964;46965,,,3,,
46974,ECHM 411,,,46971;46965;46973;46959,46970,,3,,
46975,ECHM 442,,,46966;46969;46973,,,3,,
46976,ECHM 407,,,46964;46971;46973,,,2,,
46977,ECHM 424,,,46961;46956;46973,,,3,,
46978,TECH 103,,,,,,4,,
46979,ECHM 412,,,46971;46973,,,3,,
46980,ECHM 451,,,46961;46971;46973,,,3,,
46981,CHMY 373,,,,,,3,,
46982,EGEN 488,,,,,,0,,
46983,ECHM 443,,,46975,,,3,,
46984,TECH 104,,,,,,3,,
