Curriculum,Chemical Engineering ,,,,,,,,
Institution,Rose-Hulman Institute of Technology,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,quarter,,,,,,,,
CIP,14.0702,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Chemistry I,CHEM,111,,,,4,,
2,RH Success ,RHIT,100,,,,1,,
3,Calculus I,MA,111,,,,5,,
4,Rhet & Comp,RH,131,,,,4,,
5,Chemistry II,CHEM,113,,,,4,,
6,Calculus II,MA,112,3,,,5,,
7,Physics I,PH,111,3,,,4,,
8,HSSA Elec,HSSA,,,,,4,,
9,Pro&Comp Chem Eng,CHE,110,,,,2,,
10,Chemistry III,CHEM,115,,,,4,,
11,Intro Design ,EM,103,,,,2,,
12,Calculus III,MA,113,6,,,5,,
13,Physics II,PH,112,7;3;6,,,4,,
14,Career Prep I,CHE,200,,15,,0,,
15,Cons Prin&Bal,CHE,201,12;7;5,,,4,,
16,Organic Chem I,CHEM,251,,,,3,,
17,Org Chem I LAB,CHEM,251L,,,,1,,
18,Mat Alg & Diff Equ I,MA,221,12,,,4,,
19,HSSA Elec,HSSA,,,,,4,,
20,Chem Proc Calc,CHE,202,15;18,,,4,,
21,Org Chem II,CHEM,252,,,,3,,
22,Org Chem II LAB,CHEM,252L,,,,1,,
23,Mat Alg & Diff Equ II,MA,222,18,,,4,,
24,HSSA Elec,HSSA,,,,,4,,
25,Fluid Mech,CHE,301,15;18,,,4,,
26,Chem Eng Therm,CHE,303,20;18,9,,4,,
27,Elective (Approved),,,,,,4,,
28,HSSA Elec,HSSA,,,,,4,,
29,Multi-Comp Therm,CHE,304,26;18,,,4,,
30,Fund Heat&Mass Trans,CHE,320,20;25;18,29,,4,,
31,Material Science ,CHE,315,10,,,4,,
32,Analy Chem I,CHEM,225,,,,4,,
33,App Heat&Mass Trans,CHE,321,30;29,,,4,,
34,Intro Phys Chem,CHEM,360,,,,4,,
35,Engin Stat I,MA,223,12;4,,,4,,
36,Tech & Prof Comm,RH,330,4,,,4,,
37,Kin&Reac Design ,CHE ,404,34;29,,,4,,
38,Chem Eng Lab I,CHE,411,10;32;21;30;35;36,,,3,,
39,Elec Syst,ES,213,,,,3,,
40,Elec Syst LAB,ES,213L,,,,1,,
41,Elective (Free),,,,,,4,,
42,Prof Practice,CHE,409,,,,1,,
43,Chem Eng Lab II,CHE,412,33;38,37,,4,,
44,Design I,CHE,416,33,,,4,,
45,Elective (Free),,,,,,4,,
46,Elective (CHE) ,,,,,,4,,
47,Chem Eng. Lab III,CHE,413,43,,,4,,
48,Design II,CHE,417,44;37,,,4,,
49,Process  Control,CHE,440,20;18,,,4,,
50,HSSA Elec,,,,,,4,,
51,Design III,CHE,418,48,,,2,,
52,HSSA Elec,,,,,,4,,
53,HSSA Elec,,,,,,4,,
54,Elec (Approved),,,,,,4,,
55,Elective (CHE) ,,,,,,4,,
