Curriculum,Chemical Engineering - (Bachelor of Science in Chemical Engineering),,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,General Chemistry I,CHEM,151,,4,,4,University of Arizona,
2,Tier I General Education ,,,,,,3,University of Arizona,
3,Functions for Calculus,MATH,122A,,,,1,University of Arizona,
4,First-Semester Calculus,MATH,122B,,3,,4,University of Arizona,
5,First-Year Composition,ENGL,101,,,,3,University of Arizona,
6,ENGR 102A/B or ENGR 102,,,,,,3,University of Arizona,
7,Calculus II,MATH,129,4,,,3,University of Arizona,
8,General Chemistry II,CHEM,152,1;4,,,4,University of Arizona,
9,First-Year Composition,ENGL,102,5,,,3,University of Arizona,
10,Introductory Mechanics,PHYS,141,4,,,4,University of Arizona,
11,Introduction to MATLAB I,AME,105,4,,,1,University of Arizona,
12,Organic Chemistry Laboratory I,CHEM,243A,8,16,,1,University of Arizona,
13,Tier I General Education ,,,,,,3,University of Arizona,
14,Introduction to MATLAB II,AME,205,11,,,1,University of Arizona,
15,Elements of Chemical & Environmental Engineering I - Computational Lab,CHEE,201L,8;11,14,,1,University of Arizona,
16,Lectures in Organic Chemistry,CHEM,241A,8,,,3,University of Arizona,
17,Vector Calculus,MATH,223,7,,,4,University of Arizona,
18,Elements of Chemical & Environmental Engineering I,CHEE,201,4,7,,3,University of Arizona,
19,Lectures in Organic Chemistry,CHEM,241B,16,,,3,University of Arizona,
20,Introductory Electricity and Magnetism,PHYS,241,7;10,,,4,University of Arizona,
21,Elements of Chemical and Environmental Engineering II,CHEE,202,15;18,22,,4,University of Arizona,
22,Introduction to Ordinary Differential Equations,MATH,254,7,,,3,University of Arizona,
23,Chemical Engineering Heat Transfer and Fluid Flow,CHEE,203,10;18,,,3,University of Arizona,
24,Chemical Engineering Mass Transfer,CHEE,303,23,,,3,University of Arizona,
25,Tier I General Education ,,,,,,3,University of Arizona,
26,Physical Chemistry,CHEM,480A,8;10;17,,,3,University of Arizona,
27,Chemcial Engineering Lab I,CHEE,301A,23,,,1,University of Arizona,
28,Microbiology for Engineers,CHEE,477R,,,,3,University of Arizona,
29,Chemical Engineering Modeling,CHEE,402,14;21;22,,,3,University of Arizona,
30,Chemical Engineering Transport Phenomena,CHEE,305,24;29,,,3,University of Arizona,
31,Chemical Engineering Lab II,CHEE,301B,24;27,,30;35,1,University of Arizona,
32,Basic Computer Skills for Office Applications,ABE,120,,,,3,University of Arizona,
33,Chemical Engineering Technical Electives,,,,,,3,University of Arizona,
34,Tier I General Education ,,,,,,3,University of Arizona,
35,Chemical and Physical Equilibrium,CHEE,326,24;26,,,3,University of Arizona,
36,Chemical Reaction Engineering,CHEE,420,35,29,,3,University of Arizona,
37,Chemical and Environmental Engineering Laboratory I,CHEE,401A,31,,36,1,University of Arizona,
38,Physical Chemistry,CHEM,480B,8;17;20,,,3,University of Arizona,
39,Chemical Engineering Design Principles,CHEE,442,24,,,3,University of Arizona,
40,Aerospace/Mechanical Engineering Laboratory,AME,313,,,,3,University of Arizona,
41,Tier II General Education ,,,,,,3,University of Arizona,
42,Process Control and Simulation,CHEE,413,36;37,,,3,University of Arizona,
43,Chemical Engineering Technical Electives,,,,,,3,University of Arizona,
44,Chemical Engineering Plant Design,CHEE,443,39,,,3,University of Arizona,
45,Process Dynamics and Control Laboratory,CHEE,401B,27;31;37,42,,1,University of Arizona,
46,Tier II General Education ,,,,,,3,University of Arizona,
47,Fundamentals of Materials for Engineers,MSE,331R,,,,3,University of Arizona,
