Curriculum,Chemical Engineering (Biomedical Emphasis), B.S. in Chem. E.,,,,,,,
Institution,University of Nevada-Reno,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
97298,CHEM 201,,,,97302,,4,,
97299,ECON 102,,,,,,3,,
97300,ENG 101,,,,,,3,,
97301,ENGR 100,,,,,,3,,
97302,MATH 181,,,,,,4,,
97303,CHEM 202,,,97298;97302,,,4,,
97304,ENG 102,,,97300,,,3,,
97305,MATH 182,,,97302,,,4,,
97306,CHE 102,,,97298;97302,,,2,,
97307,PHYS 180,,,97302,,,3,,
97308,PHYS 180L,,,,97307,,1,,
97309,BIOL 190,,,97298,,,3,,
97310,CHE 311,,,97298,97313,,3,,
97311,CHEM 341,,,97303,,,3,,
97312,MATH 283,,,97305,,,4,,
97313,PHYS 181,,,97305;97307,,,3,,
97314,PHYS 181L,,,97308;97307,97313,,1,,
97315,CH 201,,,97300,,,3,,
97316,BCH 400,,,97309;97311,,,4,,
97317,CHE 332,,,97303;97310;97302;97306,,,3,,
97318,ENGR 241,,,97307,97305,,3,,
97319,MATH 285,,,97305,,,3,,
97320,CHE 245,,,157553;97305,,,3,,
97321,CHEM 421,,,,,,3,,
97322,ENGR 360,,,97298;97318;97312,97319,,3,,
97323,Diversity & Equity CO7 & CO10,,,,,,3,,
97324,Technical Elective,,,,,,3,,
97325,CH 203,,,97300,,,3,,
97326,CHE 361,,,97317;97310;97321;97312,,,2,,
97327,CHE 374,,,97320;97322,,,3,,
97328,CHE 475,,,97298,,,3,,
97329,CHEM 424,,,97321,,,2,,
97330,STAT 352,,,97305,,,3,,
97331,ENGR 301,,,97325;97304;97313,,,3,,
97332,CHE 440,,,97326;97327,,,3,,
97333,CHE 441,,,97322;97306;97327,,,1,,
97334,CHE 450,,,97315;97304;97326;97327,97336,,3,,
97335,CHE 473,,,,,,3,,
97336,CHE 485,,,97326;97327,,,3,,
97337,EE 220,,,97313,,,3,,
97338,CHE 442,,,97336;97306,,,2,,
97339,CHE 451,,,97320;97333;97326;97332,,,4,,
97340,CHE 482,,,97315;97334;97304;97332;97306,,,3,,
97341,ENGR 490,,,,,,0,,
97342,Technical Elective,,,,,,1,,
157553,MSE 250,,,,,,0,,
