Curriculum,BS Chemical Engineering,,,,,,,,
Institution,Virginia Tech,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
74417,CHEM 1035,,,,,,3,,
74418,CHEM 1045,,,,74417,,1,,
74419,ENGL 1105,,,,,,3,,
74420,MATH 1225,,,,,,4,,
74421,ENGE 1215,,,,74420,,2,,
74422,CLE 2/3/7,,,,,,3,,
74423,CHEM 1036,,,74417,,,3,,
74424,CHEM 1046,,,74418,74423,,1,,
74425,ENGL 1106,,,74419,,,3,,
74426,MATH 1226,,,74420,,,4,,
74427,PHYS 2305,,,74420,74426,,4,,
74428,ENGE 1216,,,74421,,,2,,
74429,CHEM 2535/2565,,,74423,,,3,,
74430,CHEM 2545,,,74424,155654,,1,,
74431,MATH 2204,,,74426,,,3,,
74432,CHE 2114,,,74423;74426,,,3,,
74433,PHYS 2306,,,74427,,,4,,
74434,MATH 1114/2114,,,74426;74420,,,2,,
74435,CHEM 2536/2566,,,74429,,,3,,
74436,CHEM 2546,,,74430,155655,,1,,
74437,CHEM 3615,,,74431;74423;74433,,,3,,
74438,MATH 2214,,,74434;74426,,,3,,
74439,CHE 2004,,,,,,1,,
74440,CHE 2124,,,74432;74431,74434,,2,,
74441,CLE 2/3/7,,,,,,3,,
74442,ENGL 3764,,,,,,3,,
74443,MATH 4564,,,74438,,,3,,
74444,CHE 2164,,,74432,74437,,3,,
74445,CHE 3114,,,74432;74431;74427,74443,,3,,
74446,CHE 3134,,,74432;155656,,,3,,
74447,STAT 4604/4705/4714,,,74431;74426,,,3,,
74448,CHE 3015,,,74443,74449;74440;74451,,3,,
74449,CHE 3044,,,74444;74445;74443,,,2,,
74450,CHE 3144,,,74444;74445;74443,,,3,,
74451,CHE 3184,,,74444;74438,74449;74450,,3,,
74452,CHE 4134,,,74444;74445,74449;74450;74451,,2,,
74453,CHEM 3625,,,74437,,,1,,
74454,CHE 4014,,,74449;74448;74450;74446;74451;74442,,,5,,
74455,CHE 4104,,,74444;155657,,,3,,
74456,CHE 4185,,,74454,,,4,,
74457,CLE 2/3/7,,,,,,3,,
74458,CLE 2/3/7,,,,,,3,,
74459,Technical Elective 1,,,74423,,,3,,
74460,CHE 4186,,,74456,,,4,,
74461,CLE 2/3/7,,,,,,3,,
74462,CLE 6,,,,,,1,,
74463,Technical Elective 2,,,74423,,,3,,
74464,Free Elective,,,,,,3,,
74465,Elective,,,,,,3,,
155654,CHEM 2535,,,,,,0,,
155655,CHEM 2536,,,,,,0,,
155656,CHE 3615,,,,,,0,,
155657,CHE 2535/2565,,,,,,0,,
