program_code,program_name,sub-plan_code,sub-plan_name,complexity_score,total_degrees_awarded,less_than_4,four,four_and_a_half,five,five_and_a_half,six,greater_than_6
BNADBSBA,Business Administration,-,Not Available,69,76,7,37,47,58,62,68,8
BIOINBS,Bioinformatics,CSCI,Computer Science,147,2,0,1,1,1,1,1,1
LAWBA,Law,-,Not Available,42,189,46,152,168,180,183,184,5
SYEBSSYE,Systems Engineering,-,Not Available,181,108,3,51,59,78,85,95,13
GNSBGS,General Studies,AMENT,"Arts, Media and Entertainment",44,67,6,40,49,53,53,56,11
ECEBSECE,Electrical & Computer Engineer,-,Not Available,250,307,12,197,228,267,278,282,25
ENGLBA,English,-,Not Available,82,92,24,70,76,81,84,86,6
GEOSBS,Geosciences,GEO,Geology,134,74,6,53,61,64,69,69,5
PHILBA,Philosophy,ETHICS,Ethics,43,26,6,10,12,14,16,18,8
RCSCBS,Retailing & Consumer Science,-,Not Available,92,345,29,234,291,327,333,337,8
PHLBS,Public Health,ENVOCCHLT,Environ and Occupation Health,76,44,7,31,38,41,41,42,2
DFSTBSED,Deaf Studies,GNR,General,40,2,0,1,1,1,1,1,1
LLLBS,Literacy Learning & Leadership,LEAS,Lead for Equity Acc & Success,43,32,9,25,25,25,25,25,7
MATHBS,Mathematics,COMPSCI,Computer Science,72,15,1,8,9,10,11,11,4
NTRSBS,Natural Resources,WLC,Wildlife Conserv and Mgmt,53,45,1,30,35,38,39,39,6
NURSBSN,Nursing,-,Not Available,60,237,14,132,210,219,233,234,3
BIOINBS,Bioinformatics,EEBIO,Ecology & Evolutionary Biology,147,1,0,1,1,1,1,1,0
VSCBS,Veterinary Science,-,Not Available,76,190,35,152,163,175,180,186,4
MSEBSMSE,Materials Science & Engr,-,Not Available,124,38,1,22,26,33,34,37,1
GEOGBS,Geography,WES,"Water, Environment and Society",43,7,1,4,4,5,5,5,2
STDOBFA,Studio Art,3DXM,3D and Extended Media,54,3,0,2,2,2,2,2,1
GISTBS,Geographic Info Sys Tech,-,Not Available,45,4,0,0,0,0,1,3,1
EASBA,East Asian Studies,JCLI,Japanese Culture,41,19,3,11,13,15,16,18,1
PHILBA,Philosophy,PHILGEN,General,42,22,3,15,17,18,18,20,2
COSCBA,Computer Science,-,Not Available,97,36,3,23,28,34,34,35,1
NTRSBS,Natural Resources,ECOLMRR,"Ecol, Mgt & Rstr of Rnglnds",93,7,1,5,6,6,6,6,1
MATHBS,Mathematics,APPL,Applied,89,27,6,15,18,25,25,25,2
MATHBA,Mathematics,GEN,General,140,4,1,3,3,3,4,4,0
MATHBA,Mathematics,MATHTEACH,Education,179,5,0,3,4,5,5,5,0
PERFBMUS,Performance,GUITAR,Guitar,160,4,0,3,3,3,4,4,0
POLBA,Political Science,FORAF,Foreign Affairs,42,23,0,18,21,21,21,21,2
PERFBMUS,Performance,CLARINET,Clarinet,178,3,0,1,2,3,3,3,0
CHEMBA,Chemistry,-,Not Available,175,5,2,3,4,4,4,5,0
OPERBSBA,Operations Management,-,Not Available,67,11,2,8,10,10,11,11,0
AREDBFA,Art Education,CMU,Community Museums,59,2,0,1,1,1,2,2,0
MATHBA,Mathematics,ECBUS,Economics and Business,153,7,0,2,5,7,7,7,0
EASBA,East Asian Studies,CLGI,Chinese Language,41,3,0,2,2,3,3,3,0
ITALBA,Italian,ITALST,Italian Studies,60,4,0,2,3,4,4,4,0
ANTHBS,Anthropology,HBI,Human Biology,43,16,2,12,15,15,16,16,0
MATHBA,Mathematics,COMPREH,Comprehensive,143,3,1,3,3,3,3,3,0
MATHBS,Mathematics,ECONBUS,Economics and Business,100,4,1,4,4,4,4,4,0
SBEBSSBE,Sustainable Built Environments,HCON,Heritage Conservation,64,3,0,2,2,3,3,3,0
MASBA,Mexican American Studies,-,Not Available,42,3,0,1,1,3,3,3,0
GEOGBA,Geography,-,Not Available,42,6,1,5,6,6,6,6,0
GEOGBS,Geography,GIS,Geographic Info Science,42,4,1,2,3,3,3,4,0
PSIOMBSHS,Physiology & Medical Sciences,-,Not Available,60,27,0,25,26,27,27,27,0
