Program_Complexity,four_or_less,six_or_less,greater_than_six,total
39,0,12,2,14
40,2,42,4,46
41,2,74,7,81
42,56,558,45,603
43,41,532,35,567
44,6,40,8,48
45,96,849,47,896
46,4,42,4,46
47,34,196,7,203
48,3,5,10,15
49,1,42,1,43
52,40,354,31,385
53,7,67,4,71
54,1,5,2,7
55,0,10,0,10
56,16,82,1,83
57,0,0,2,2
58,16,128,7,135
59,0,7,2,9
60,21,292,6,298
61,0,7,0,7
62,0,2,1,3
63,5,66,2,68
64,2,20,1,21
65,0,8,1,9
66,1,7,1,8
67,18,259,9,268
68,2,65,13,78
69,26,50,5,55
70,46,773,11,784
72,2,30,5,35
73,27,403,7,410
74,2,20,3,23
76,28,315,10,325
77,1,71,36,107
79,0,3,5,8
80,0,2,1,3
82,32,260,10,270
83,0,19,1,20
84,7,76,11,87
87,1,21,3,24
88,148,847,55,902
89,4,81,5,86
90,1,43,4,47
91,4,22,0,22
92,18,245,10,255
93,0,10,3,13
94,11,182,3,185
96,0,10,0,10
97,1,62,11,73
100,1,6,0,6
102,14,181,6,187
103,4,27,6,33
105,0,13,0,13
107,1,54,1,55
111,2,58,5,63
113,0,8,0,8
116,3,63,2,65
117,0,30,3,33
121,23,434,9,443
124,2,59,2,61
126,24,422,4,426
132,7,157,12,169
133,0,0,1,1
134,9,50,8,58
140,2,11,0,11
143,28,387,18,405
147,0,2,0,2
150,0,32,5,37
151,3,17,2,19
152,0,0,1,1
153,0,6,0,6
156,0,6,1,7
157,0,1,0,1
158,0,2,2,4
160,0,3,0,3
161,2,117,7,124
165,0,0,1,1
170,1,122,1,123
175,0,6,4,10
178,1,29,3,32
179,0,5,0,5
181,1,60,15,75
192,0,36,3,39
194,27,261,29,290
203,10,136,13,149
207,0,26,6,32
220,0,2,0,2
250,2,171,9,180
278,0,2,0,2
305,0,15,4,19
314,1,72,5,77
315,3,239,12,251
320,0,53,5,58
351,0,57,0,57
372,4,103,8,111
380,2,37,1,38
474,0,75,5,80
614,1,130,8,138
