Curriculum,Electrical Engineering - Electronic Devices and Circuit Technology,,,,,,,,,
Degree Plan,2021-22 Plan,,,,,,,,,
Institution,Georgia Institute of Technology,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,26.0101,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,General Chemistry,CHEM,1310,,,,4,,,1
2,Intro to Computing,CS,1301,,,,3,,,1
3,ECE Discovery Studio,ECE,1100,,,,1,,,1
4,English Composition I,ENGL,1101,,,,3,,,1
5,Differential Calculus,MATH,1551,,,,2,,,1
6,Linear Algebra,MATH,1554,,5,,4,,,1
7,Fund. of Digital System Design,ECE,2020,2,,,3,,,2
8,English Composition II,ENGL,1102,4,,,3,,,2
9,Integral Calculus,MATH,1552,5,,,4,,,2
10,Intro Physics 1,PHYS ,2211,,9,,4,,,2
11,History/Government Elective,,,,,,3,,,2
12,Intro. to Signal Processing,ECE,2026,9;2,,,3,,,3
13,Econ/Social Science Elective,,,,,,3,,,3
14,Humanities Elective,,,,,,3,,,3
15,Differential Equations,MATH,2552,9;6,,,4,,,3
16,Intro. Physics 2,PHYS ,2212,10,,,4,,,3
17,Digital Design Lab,ECE,2031,7,18,,2,,,4
18,Programming Elective,ECE,2035,7,,,4,,,4
19,Circuit Analysis,ECE,2040,16;15,,,3,,,4
20,Multivariate Calculus,MATH,2551,9,,,4,,,4
21,Science Elective,,,,,,3,,,4
22,Microelectronic Circuits,ECE,3040,17;18;19;1;15,,,4,,,5
23,"Measurements, Circuits and Microelectronics Lab",ECE,3043,17,22,,2,,,5
24,Electromagnetics,ECE,3025,19;12;15,,,3,,,5
25,Prob & Stat Elective,,,20,,,3,,,5
26,,APPH,1040,,,,2,,,5
27,Humanities Elective,,,,,,3,,,5
28,,ECE,3005,,,,1,,,6
29,Elective Hours,,,,,,3,,,6
30,,ECE,3450,,,,3,,,6
31,,ECE,3400,,,,3,,,6
32,Social Science Elective,,,,,,3,,,6
33,Elective Hours,,,,,,3,,,6
35,Senior Design Sequence,,,24,,,1,,,7
36,Electronic Devices Topics,,,22,,,3,,,7
37,ECE 3000/4000 Elective,,,19,,,3,,,7
38,,ECE,4452,,,,3,,,7
39,Elective Hours,,,,,,2,,,7
40,Social Science Elective,,,,,,3,,,7
41,Senior Design Sequence,,,35,,,2,,,8
42,ECE 3000/4000 Elective,,,19,,,3,,,8
43,ECE 3000/4000 Elective,,,19,,,3,,,8
44,Elective Hours,,,,,,3,,,8
45,Circuit Technologies Topics,,,19,,,3,,,8
