Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
PHYS 150,1,MATH 121G,,3,
PHYS 213+L,1,,MATH 191G,4,
PHYS 203,1,,"PHYS 213, PHYS 213+L",1,
ENGL 218G,2,ENGL 111G,,3,
MATH 192G,2,MATH 191G,,4,
PHYS 214+L,2,"PHYS 213+L, MATH 191G",MATH 192G,4,
PHYS 204,2,,"PHYS 214, PHYS 214+L",1,
Area IV,2,,,3,
CHEM 111G,3,MATH 120,,4,
MATH 291G,3,MATH 192G,,3,
PHYS 217+L,3,"PHYS 213+L, MATH 191G",,4,
PHYS 218,3,,"PHYS 217, PHYS 217+L",1,
COMM 265G,3,,,3,
CHEM 112G,4,CHEM 111G,,4,
MATH 392,4,MATH 192G,,3,
PHYS 315,4,"MATH 291G, PHYS 214",,3,
PHYS 316,4,,PHYS 315,1,
PHYS 325,4,,PHYS 315,3,
Area V,4,,,3,
PHYS 451,5,PHYS 213,MATH 392,3,
PHYS 461,5,"PHYS 214, MATH 291G","PHYS 395, MATH 392",3,
PHYS 395,5,MATH 291G,MATH 392,3,
VWW,5,,,3,
2nd Language 1,5,,,3,
PHYS 462,6,"PHYS 395, PHYS 461, MATH 392",,3,
PHYS 480,6,"PHYS 217, PHYS 315, MATH 291G",,3,
VWW,6,,,3,
Area VI,6,,,3,
2nd Language 2,6,2nd Language 1,,3,
PHYS 454,7,PHYS 315,"PHYS 395, MATH 392",3,
UD Phys/Geophys Elective,7,,,3,
Advanced Physics Lab (or Elective),7,,,3,
Elective,7,,,3,
Elective,7,,,3,
PHYS 455,8,"PHYS 395, PHYS 454, MATH 392",,3,
UD Phys/Geophys Elective,8,,,3,
Advanced Physics Lab (or Elective),8,,,3,
Elective,8,,,3,
