Curriculum,Civil Engineering,,,,,,,,,
Degree Plan,2019-20 Degree Plan,,,,,,,,,
Institution,University of Arizona,,,,,,,,,
Degree Type,BS,,,,,,,,,
System Type,semester,,,,,,,,,
CIP,14.0801,,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,Calculus I w/ Applications,MATH,125,,,,3,,,1
2,Gen Chemistry I,CHEM,151,,,,4,,,1
3,First-year Comp,ENGL,101,,,,3,,,1
4,Intro to Engineering,ENGR,102,,1,,3,,,1
5,Tier I General Ed,,,,,,3,,,1
6,Calculus II,MATH,129,1,,,3,,,2
7,Intro Biology I,MCB,181R,,,,3,,,2
8,Intro Biology I Lab,MCB,181L,,,7,1,,,2
9,Intro Mechanics,PHYS,141,1,,,4,,,2
10,First-year Comp,ENGL,102,3,,,3,,,2
11,Tier I General Ed,,,,,,3,,,2
12,Eng Graphics,CE,210,,,,1,,,3
13,Statics,CE,214,9;6,,,3,,,3
14,Vector Calculus,MATH ,223,6,,,4,,,3
15,Electricity & Magnetism,PHYS,241,6;9,,,4,,,3
16,Tier I General Ed,,,,,,3,,,3
17,Mechanics of Solids,CE,215,13,,,3,,,4
18,Mechanics of Fluids,CE,218,13,,,3,,,4
19,Intro. to ODEs,MATH,254,14,,,3,,,4
20,Elementary Surveying,CE ,251,,,,3,,,4
21,Computer Prog in CE,CE,260,14,,,1,,,4
22,Tier I General Ed,,,,,,3,,,4
23,Eng Communications,CE,301,,,,3,,,5
24,Num Analysis for CE,CE,303,,,,3,,,5
25,Prob & Stats for CE,CE,310,6,,,3,,,5
26,Elem Structural Analysis,CE,333,,,,3,,,5
27,Tranport Eng and Pavement Design,CE,363,,,,4,,,5
28,Hydraulic Eng and Design,CE,323,18,,,4,,,6
29,Struct Design in Concrete,CE,335,26,,,3,,,6
30,Soil Mechanics,CE,343,17,,,3,,,6
31,Environ and Water Eng,CE,370R,2,,,3,,,6
32,Fluid Mechanics Lab,CE,329,,18,,1,,,6
33,Eng Sci Module: Dynamics,ENGR,211I,19;13,,,1,,,6
34,Eng Sci Module: Eng Econ,ENGR,211P,6,,,1,,,6
35,Issues in CE Practice,CE,408A,28;29,23,,3,,,7
36,Struct design in Steel,CE,334,26,,,3,,,7
37,Foundation Eng,CE,440,30,,,3,,,7
38,CE Technical Elective,,,,,,3,,,7
39,CE Technical Elective,,,,,,3,,,7
40,Soils Lab,CE,349,,30,,1,,,7
41,CE Senior Capstone Design,CE,408B,23;35;28;29;30;27,,,3,,,8
42,CE Technical Elective,,,,,,3,,,8
43,CE Technical Elective,,,,,,3,,,8
44,Materials Testing Lab,CE,389,17,,,1,,,8
45,Tier II General Ed.,,,,,,3,,,8
46,Tier II General Ed.,,,,,,3,,,8
