Curriculum,Architectural Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0401,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,First-year Comp,ENGL,102,3,,,3,,
8,Intro Mechanics,PHYS,141,1,,,4,,
9,Tier I General Ed,,,,,,3,,
10,Tier I General Ed,,,,,,3,,
11,Intro to Arch Eng,ARCE,295,1,,,1,,
12,Statics,CE,214,9;6,,,3,,
13,Vector Calculus,MATH ,223,6,,,4,,
14,Electricity & Magnetism,PHYS,241,6;9,,,4,,
15,History of Applied Building Tech,ARC,220,4,,,3,,
16,Mechanics of Solids,CE,215,12,,,3,,
17,Thermodynamics,AME,230,8,,,3,,
18,Intro. to ODEs,MATH,254,13,,,3,,
19,Build Info Modeling,ARCE,210,4,,,3,,
20,Building Tech III,ARCE,223,8,,,1,,
21,Tier I General Ed,,,,,,3,,
22,Mechanics of Fluids,CE,218,12,,,3,,
23,Eng Communications,CE,301,,,,3,,
24,Prob & Stats for CE,CE,310,6,,,3,,
25,Elem Structural Analysis,CE,333,16,,,3,,
26,Construction Eng Manag,CE,381,,,,3,,
27,Circuits,ENGR,211M,18;14,,,1,,
28,Intro to Mech Sys in Bldg Design,ARCE,340,19;11,,,3,,
29,Struct Design in Concrete,CE,335,25,,,3,,
30,Power Sys Eng,ARCE,320,27,,,3,,
31,Architecture Lighting,ARCE,330,27,,,3,,
32,Materials Testing Lab,CE,389,16,,,1,,
33,Tier II General Ed.,,,,,,3,,
34,Capstone Design Studio,ARCE,400A,,,,6,,
35,Issues in Professional Practice,ARCE,408A,,,,2,,
36,Struct design in Steel,CE,334,25,,,3,,
37,Eng Econ,ENGR,211P,6,,,3,,
38,Dynamics,ENGR,211I,12;18,,,3,,
39,Math/Science Elective,,,,,,3,,
40,Senior Design,ARCE,400B,,34,,3,,
41,Behavioral and Design of Struct Sys,CE,438,,,,3,,
42,Tech Elective,,,,,,3,,
43,Tech Elective,,,,,,3,,
44,Tier II General Ed.,,,,,,3,,
