Curriculum,Biosystems Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.4501,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp.,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed.,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Gen Chemistry II,CHEM,152,2,,,4,,
8,Intro Mechanics,PHYS,141,1,,,4,,
9,First-year Comp.,ENGL,102,3,,,3,,
10,Tier I General Ed.,,,,,,3,,
11,Statics,CE,214,8;6,,,3,,
12,Biosystems Thermal Eng,BE,284,6;8,,,3,,
13,Intro to Biosystems Eng,BE,201,1,,,2,,
14,Vector Calculus,MATH ,223,6,,,4,,
15,Intro Biology I,MCB,181R,,,,3,,
16,Intro Biology I Lab,MCB,181L,,,15,1,,
17,Eng Analytical Computer Skills,BE,205,,,,3,,
18,Intro to ODEs,MATH,254,6,,,3,,
19,Electricity & Magnetism,PHYS,241,6;8,,,4,,
20,Human Anatomy and Physio I,PHYS,201,,,,4,,
21,Tier I General Ed.,,,,,,3,,
22,Mechanics of Fluids,CE,218,11,,,3,,
23,Eng Management I,SIE,265,4;1,,,3,,
24,Intro to Computer Aided Design,BE,221,,,,3,,
25,Sensor and Contorls,BME,447,7,,,3,,
26,Eng Probability & Stats,SIE ,305,6,,,3,,
27,Biosystems Analysis and Design,BE ,423,,,,3,,
28,BE Design Elective,,,,,,3,,
29,BE Technical Elective,,,,,,3,,
30,Technical Writing,ENGL ,308,,,,3,,
31,Tier I General Ed,,,9,,,3,,
32,Seminar in Eng Careers and Professionalism,BE,496A,,,33,1,,
33,Cross-disciplinary Design,ENGR,498A,,,,3,,
34,Technical Elective,,,,,,3,,
35,BE Design Elective,,,,,,3,,
36,Internship,BE,493,,,,1,,
37,Mech Behavior of Eng Materials,AME,324A,11,,,3,,
38,Tier II General Ed,,,,,,3,,
39,Cross-disciplinary Design,ENGR,498B,33,,,3,,
40,Technical Elective,,,,,,3,,
41,Technical Elective,,,,,,3,,
42,BE Design Elective,,,,,,3,,
43,Tier II General Ed,,,,,,3,,
