Curriculum,Civil Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.0801,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Intro Biology I,MCB,181R,,,,3,,
8,Intro Biology I Lab,MCB,181L,,,7,1,,
9,Intro Mechanics,PHYS,141,1,,,4,,
10,First-year Comp,ENGL,102,3,,,3,,
11,Tier I General Ed,,,,,,3,,
12,Eng Graphics,CE,210,,,,1,,
13,Statics,CE,214,9;6,,,3,,
14,Vector Calculus,MATH ,223,6,,,4,,
15,Electricity & Magnetism,PHYS,241,6;9,,,4,,
16,Tier I General Ed,,,,,,3,,
17,Mechanics of Solids,CE,215,13,,,3,,
18,Mechanics of Fluids,CE,218,13,,,3,,
19,Intro. to ODEs,MATH,254,14,,,3,,
20,Elementary Surveying,CE ,251,,,,3,,
21,Computer Prog in CE,CE,260,14,,,1,,
22,Tier I General Ed,,,,,,3,,
23,Eng Communications,CE,301,,,,3,,
24,Num Analysis for CE,CE,303,,,,3,,
25,Prob & Stats for CE,CE,310,6,,,3,,
26,Elem Structural Analysis,CE,333,,,,3,,
27,Tranport Eng and Pavement Design,CE,363,,,,4,,
28,Hydraulic Eng and Design,CE,323,18,,,4,,
29,Struct Design in Concrete,CE,335,26,,,3,,
30,Soil Mechanics,CE,343,17,,,3,,
31,Environ and Water Eng,CE,370R,2,,,3,,
32,Fluid Mechanics Lab,CE,329,,18,,1,,
33,Eng Sci Module: Dynamics,ENGR,211I,19;13,,,1,,
34,Eng Sci Module: Eng Econ,ENGR,211P,6,,,1,,
35,Issues in CE Practice,CE,408A,28;29,23,,3,,
36,Struct design in Steel,CE,334,26,,,3,,
37,Foundation Eng,CE,440,30,,,3,,
38,CE Technical Elective,,,,,,3,,
39,CE Technical Elective,,,,,,3,,
40,Soils Lab,CE,349,,30,,1,,
41,CE Senior Capstone Design,CE,408B,23;35;28;29;30;27,,,3,,
42,CE Technical Elective,,,,,,3,,
43,CE Technical Elective,,,,,,3,,
44,Materials Testing Lab,CE,389,17,,,1,,
45,Tier II General Ed.,,,,,,3,,
46,Tier II General Ed.,,,,,,3,,
