Curriculum,Electrical Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.1001,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp.,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed.,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Programming for Eng. Apps.,ECE,175,,1,,3,,
8,Intro Mechanics,PHYS,141,1,,,4,,
9,First-year Comp.,ENGL,102,3,,,3,,
10,Tier I General Ed.,,,,,,3,,
11,Digital Logic,ECE,274A,7,6,,4,,
12,Programming for Eng. Apps. II,ECE,275,7,,,3,,
13,Vector Calculus,MATH ,223,6,,,4,,
14,Electricity & Magnetism,PHYS,241,6;8,,,4,,
15,Tier I General Ed.,,,,,,3,,
16,Basic Circuits,ECE,220,6;14,,,5,,
17,Intro Optics and Thermo ,PHYS,143,6;8,,,2,,
18,Discrete Math,MATH,243,1,,,3,,
19,Intro to ODEs,MATH,254,6,,,3,,
20,Tier II General Ed.,,,,,,3,,
21,Eng Math,ECE,310,19;7,,,4,,
22,Circuit Theory,ECE,320A,19;16,,,3,,
23,Intro Emag,ECE,381A,13;16,,,4,,
25,Technical Elective,,,,,,3,,
26,Eng Ethics,ECE,311,,,,1,,
27,Intro to Comm,ECE,340A,22,,,3,,
24,Electronic Circuits,ECE,351C,22,,,4,,
28,uProcessor Org,ECE,372A,16;11,12,,4,,
29,Device Electronics,ECE,352,,24,,3,,
30,Tier I General Ed.,,,,,,3,,
31,Cross-disciplinary Design,ENGR,498A,22,28,,3,,
32,Eng Elec Course II,,,,,,3,,
33,Technical Elective,,,,,,3,,
34,Technical Elective,,,,,,3,,
35,Technical Elective,,,,,,3,,
36,Cross-disciplinary Design,ENGR,498B,31;28,,,3,,
37,Technical Elective,,,,,,3,,
38,Technical Elective,,,,,,3,,
39,Technical Elective,,,,,,3,,
40,Tier II General Ed.,,,,,,3,,
