Curriculum,Mining Engineering-Mine Operations Track,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.2101,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Gen Chemistry II,CHEM,152,2,,,4,,
8,First-year Comp,ENGL,102,3,,,3,,
9,Intro Mechanics,PHYS,141,1,6,,4,,
10,Tier I General Ed,,,,,,3,,
11,Statics,CE,214,9;6,,,3,,
12,Physical Geology,GEOS,251,,,,4,,
13,Vector Calculus,MATH ,223,6,,,4,,
14,Intro to Mining Eng,MNE,205,,,,3,,
15,Mineral Resoure Eng Topics,MNE,296A,,,,1,,
16,Underground Mine Safety,MNE,297A,,15,,1,,
17,Tier I General Ed,,,,,,3,,
18,Mechanics of Solids,CE,215,11,,,3,,
19,Intro to ODEs,MATH,254,6,,,3,,
20,Mineralogy & Petrology for Eng,MNE,210,2;7,,,3,,
21,Intro to Electric Circuits & Mine Power Sys,MNE,204,9,,,3,,
22,Tier I General Ed.,,,,,,3,,
23,Mechanics of Fluids,CE,218,11,,,3,,
24,Sustainable Resource Dev,MNE,422,,,,3,,
25,Health & Safety,MNE,426,,,,1,,
26,Geomechanics,MNE,427,11,18,,4,,
27,Mine Examination & Valuation,MNE,430,14,,,3,,
28,Geopositioning for Mining Apps,MNE,444,,,,3,,
29,Tech Trends in Min Resource Eng,MNE,396A,,,,1,,
30,Mine Planning Software,MNE,419,,,,1,,
31,Surface Mine Design,MNE,436,14;27;26,30,,3,,
32,Underground Mine Design,MNE,438,14;27;26,30,,2,,
33,Mine Ventilation,MNE,476,,23,,4,,
34,Tech Elective,,,,,,3,,
35,Mineral Processing,MNE,411,7,,,3,,
36,Rock Excavation,MNE,415,18,,,3,,
37,Equipment Operations Tech,MNE,407,,,,3,,
38,Senior Design,MNE,498,,,,1,,
39,Structural Geology,GEOS,304,12,,,4,,
40,Intro to Eng Prob & Stats ,SIE,305,6,,,3,,
41,Underground Construction,MNE,447,26,,,3,,
42,Senior Design,MNE,498,38,,,2,,
43,Tech Elective,,,,,,2,,
44,Tier II General Ed.,,,,,,3,,
45,Tier II General Ed.,,,,,,3,,
