Curriculum,Systems Engineering,,,,,,,,
Institution,University of Arizona,,,,,,,,
Degree Type,BS,,,,,,,,
System Type,semester,,,,,,,,
CIP,14.2701,,,,,,,,
Courses,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name
1,Calculus I w/ Applications,MATH,125,,,,3,,
2,Gen Chemistry I,CHEM,151,,,,4,,
3,First-year Comp.,ENGL,101,,,,3,,
4,Intro to Engineering,ENGR,102,,1,,3,,
5,Tier I General Ed.,,,,,,3,,
6,Calculus II,MATH,129,1,,,3,,
7,Programming for Eng. Apps.,ECE,175,,1,,3,,
8,Gen Chemistry II,CHEM,152,2,,,4,,
9,First-year Comp.,ENGL,102,3,,,3,,
10,Intro Mechanics,PHYS,141,1,6,,4,,
11,Intro to Sys and Indust Eng,SIE,250,6,,,3,,
12,Vector Calculus,MATH ,223,6,,,4,,
13,Electricity & Magnetism,PHYS,241,6;10,,,4,,
14,Obj-oriented Modeling and Design,SIE,277,7,,,3,,
15,Tier I General Ed.,,,,,,3,,
16,Eng. Management I,SIE,265,1,,,3,,
17,Math Found of Sys & Indust Eng,SIE,270,6;10;7,,,3,,
18,Sys & Indust Eng Soph Colloquium,SIE,295S,11,,,1,,
19,Intro to ODEs,MATH,254,6,,,3,,
20,Eng Minor Course,,,,,,3,,
21,Tier I General Ed.,,,,,,3,,
22,Intro to Eng Prob & Stats,SIE,305,6,,,3,,
23,Deterministic OR,SIE,340,16;17,,,3,,
25,Basic Circuits,ECE,220,6;13,,,5,,
26,Eng Minor Course,,,,,,3,,
27,Eng Minor Course,,,,,,3,,
24,Prob. Methods in OR,SIE,321,22,,,3,,
28,Eng Experiment Design,SIE,330R,22,,,3,,
29,Embedded Computer Sys,SIE,370,4;7;25,,,4,,
30,Eng Minor Course,,,,,,3,,
31,Tier I General Ed.,,,,,,3,,
32,Cross-disciplinary Design,ENGR,498A,,,,3,,
33,Human Factors & Ergonomics in Design,SIE,410A,,,,3,,
34,Simulation & Modeling,SIE,431,22,,,3,,
35,Sys Eng Process,SIE,454A,,,,3,,
36,Tech Writing,ENGL,308,9,,,3,,
37,Cross-disciplinary Design,ENGR,498B,32,,,3,,
38,Eng Minor Course,,,,,,3,,
39,Eng Minor Course,,,,,,3,,
40,Tier II General Ed.,,,,,,3,,
41,Tier II General Ed.,,,,,,3,,
42,Free Elective,,,,,,1,,
