Curriculum,"Art (B",,,,,,,,,
Degree Plan,"Art (B",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"ART 105","","",,,,1,"","",1
2,"ART 110","","",,,,3,"","",1
3,"ART 135","","",,,,3,"","",1
4,"ART 160","","",,,,3,"","",1
5,"CO 150","","",,,,3,"","",1
6,"AUCC 3E","","",,,,3,"","",1
7,"ART 111","","","2",,,3,"","",2
8,"ART 136","","","3",,,3,"","",2
9,"ART 170","","",,,,3,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"MATH","","",,,,3,"","",2
12,"ART 212","","","7",,,3,"","",3
13,"ART 120","","",,,,3,"","",3
14,"ART 230","","","7;4;9;8",,,3,"","",3
15,"AUCC 3A","","",,,,3,"","",3
16,"AUCC 3D","","",,,,3,"","",3
17,"ART 256","","","7;4;9;8",,,3,"","",4
18,"ART 240","","","7;4;9;8",,,3,"","",4
19,"UD ART HISTORY ELECTIVE 1","","",,,,3,"","",4
20,"AUCC 3A","","",,,,4,"","",4
21,"AUCC 3C","","",,,,3,"","",4
22,"ART 358","","","17",,,4,"","",5
23,"ART ELECTIVE 1","","",,,,3,"","",5
24,"UD ART HISTORY ELECTIVE 2","","",,,,3,"","",5
25,"ADVANCED WRITING","","","5",,,3,"","",5
26,"AUCC 3B","","",,,,3,"","",5
27,"ART 357","","","17",,,4,"","",6
28,"UD ART ELECTIVE 1","","",,,,4,"","",6
29,"UD NON-ART ELECTIVE 1","","",,,,3,"","",6
30,"ELECTIVE 1","","",,,,3,"","",6
31,"ART 458","","","17;22",,,4,"","",7
32,"UD NON-ART ELECTIVE 2","","",,,,3,"","",7
33,"NON-ART ELECTIVE ","","",,,,3,"","",7
34,"NON-ART ELECTIVE ","","",,,,3,"","",7
35,"ART 400","","",,,,1,"","",8
36,"ART 457","","","27;17",,,4,"","",8
37,"UD ART ELECTIVE 2","","",,,,4,"","",8
38,"UD NON-ART ELECTIVE 3","","",,,,3,"","",8
39,"UD NON-ART ELECTIVE 4","","",,,,3,"","",8
