Curriculum,"Business Administration, Finance Concentration, Real Estate Finance Option",,,,,,,,,
Degree Plan,"Business Administration, Finance Concentration, Real Estate Finance Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BUS 100","","",,,,1,"","",1
2,"BUS 201","","",,,,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"AUCC 3A","","",,,,4,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"MATH 141","","",,,,3,"","",1
7,"CIS 200","","",,,,3,"","",2
8,"ECON 202","","","6",,,3,"","",2
9,"AUCC 3E","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"ELECTIVE 3","","",,,,3,"","",2
12,"ACT 210","","",,,,3,"","",3
13,"BUS 220","","","3",,,3,"","",3
14,"ECON 204","","","8;6",,,3,"","",3
15,"AUCC 3A","","",,,,3,"","",3
16,"ELECTIVE 4","","",,,,3,"","",3
17,"ACT 220","","","12",,,3,"","",4
18,"BUS 260","","",,,,3,"","",4
19,"STAT 204","","","6",,,3,"","",4
20,"AUCC 3D","","",,,,3,"","",4
21,"ELECTIVE 5","","",,,,3,"","",4
22,"BUS 300","","","3",,,3,"","",5
23,"FIN 300","","","7;14;8;12;6",,,3,"","",5
24,"FIN 310","","","14",,,3,"","",5
25,"MKT 300","","",,,,3,"","",5
26,"AUCC 3B","","",,,,3,"","",5
27,"REL 360","","",,,,3,"","",6
28,"FIN 355","","","23;24",,,3,"","",6
29,"UD ELECTIVE 1","","",,,,3,"","",6
30,"ELECTIVE 6","","",,,,3,"","",6
31,"ELECTIVE 7","","",,,,3,"","",6
32,"REL 430","","","23;27",,,3,"","",7
33,"REL 460","","","23;27",,,3,"","",7
34,"MGT 301","","",,,,3,"","",7
35,"MGT 320","","","8;22;6",,,3,"","",7
36,"UD ELECTIVE 2","","",,,,3,"","",7
37,"BUS 479","","","23;25;35;34",,,3,"","",8
38,"FIN 475","","","23",,,3,"","",8
39,"ELECTIVE 8","","",,,,3,"","",8
40,"ELECTIVE 9","","",,,,3,"","",8
41,"ELECTIVE 10","","",,,,3,"","",8
