Curriculum,"Business Administration, Information Systems Concentration",,,,,,,,,
Degree Plan,"Business Administration, Information Systems Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BUS 100","","",,,,1,"","",1
2,"BUS 201","","",,,,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 141","","",,,,3,"","",1
5,"AUCC 3A","","",,,,4,"","",1
6,"ELECTIVE 1","","",,,,3,"","",1
7,"CIS 200","","",,,,3,"","",2
8,"ECON 202","","","4",,,3,"","",2
9,"AUCC 3B","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"ELECTIVE 3","","",,,,3,"","",2
12,"ACT 210","","",,,,3,"","",3
13,"CIS 210","","",,,,3,"","",3
14,"ECON 204","","","4;8",,,3,"","",3
15,"ELECTIVE 4","","",,,,3,"","",3
16,"ELECTIVE 5","","",,,,3,"","",3
17,"ACT 220","","","12",,,3,"","",4
18,"BUS 220","","","3",,,3,"","",4
19,"CIS 240","","","13",,,3,"","",4
20,"STAT 204","","","4",,,3,"","",4
21,"AUCC 3A","","",,,,3,"","",4
22,"BUS 260","","",,,,3,"","",5
23,"CIS 320","","","7",,,3,"","",5
24,"CIS 350","","","13",,,3,"","",5
25,"BUS 300","","","3",,,3,"","",5
26,"ELECTIVE 6","","",,,,3,"","",5
27,"CIS 355","","","7",,,3,"","",6
28,"FIN 300","","","7;4;14;8;12",,,3,"","",6
29,"AUCC 3D","","",,,,3,"","",6
30,"ELECTIVE 7","","",,,,3,"","",6
31,"MKT 300","","","4;8",,,3,"","",7
32,"MKT 301","","",,,,3,"","",7
33,"MGT 320","","","4;25;8",,,3,"","",7
34,"CIS 340","","","19",,,3,"","",7
35,"CIS 410","","","27;19",,,3,"","",7
36,"BUS 479","","","31;28;33",,,3,"","",8
37,"CIS 360","","","19",,,3,"","",8
38,"AUCC 3E","","",,,,3,"","",8
39,"ELECTIVE 8","","",,,,3,"","",8
40,"ELECTIVE 9","","",,,,3,"","",8
41,"ELECTIVE 10","","",,,,3,"","",8
