Curriculum,"Civil Engineering",,,,,,,,,
Degree Plan,"Civil Engineering",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CIVE 102","","",,,,3,"","",1
2,"CO 150","","",,,,3,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"PH 141","","",,"3",,5,"","",1
5,"CHEM 111","","","3",,,4,"","",2
6,"CHEM 112","","",,"5",,1,"","",2
7,"CIVE 103","","","1",,,3,"","",2
8,"MATH 161","","","3",,,4,"","",2
9,"AUCC 3B","","",,,,3,"","",2
10,"CHEM 113","","","3;5",,,3,"","",3
11,"CIVE 202","","","7;3",,,3,"","",3
12,"CIVE 260","","","4;3",,,3,"","",3
13,"MATH 261","","","8",,,4,"","",3
14,"SCIENCE TECHNICAL ELECTIVE 1","","",,,,3,"","",3
15,"CIVE 203","","","11",,,3,"","",4
16,"CIVE 261","","","12",,,3,"","",4
17,"CIVE 360","","","12",,,3,"","",4
18,"MECH 237","","","4;3",,,3,"","",4
19,"AUCC 3D","","",,,,3,"","",4
20,"AUCC 3C","","",,,,3,"","",4
21,"CIVE 300","","","16;18","25",,3,"","",5
22,"CIVE 301","","",,"21",,1,"","",5
23,"CIVE 302","","","17;5",,,3,"","",5
24,"CIVE 367","","","17",,,3,"","",5
25,"MATH 340","","","13",,,4,"","",5
26,"ADVANCED WRITING","","","2",,,3,"","",5
27,"CIVE 303","","","12",,,3,"","",6
28,"CIVE 322","","","21;15",,,3,"","",6
29,"CIVE 355","","","17",,,3,"","",6
30,"CIVE 356","","",,"29",,1,"","",6
31,"CIVE 467","","","24",,,3,"","",6
32,"CIVE TECHNICAL ELECTIVE 1","","",,,,3,"","",6
33,"CIVE 401","","","21",,,3,"","",7
34,"CIVE 402","","","27;21",,,3,"","",7
35,"CIVE 438","","","10;21",,,3,"","",7
36,"CIVE TECHNICAL ELECTIVE 2","","",,,,3,"","",7
37,"CIVE TECHNICAL ELECTIVE 3","","",,,,3,"","",7
38,"AUCC 3E","","",,,,3,"","",7
39,"CIVE 403","","","34",,,3,"","",8
40,"CIVE 466","","","24",,,3,"","",8
41,"CIVE TECHNICAL ELECTIVE 4","","",,,,3,"","",8
42,"CIVE TECHNICAL ELECTIVE 5","","",,,,3,"","",8
43,"AUCC 3B","","",,,,3,"","",8
