Curriculum,"Environmental Engineering",,,,,,,,,
Degree Plan,"Environmental Engineering",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CIVE 102","","",,,,3,"","",1
2,"CO 150","","",,,,3,"","",1
3,"MATH 160","","",,,,4,"","",1
4,"PH 141","","",,"3",,5,"","",1
5,"BZ 110","","",,,,3,"","",2
6,"BZ 111","","",,"5",,1,"","",2
7,"CHEM 111","","","3",,,4,"","",2
8,"CHEM 112","","",,"7",,1,"","",2
9,"CIVE 103","","","1",,,3,"","",2
10,"MATH 161","","","3",,,4,"","",2
11,"CHEM 113","","","3",,,3,"","",3
12,"CHEM 114","","","8","11",,1,"","",3
13,"CIVE 202","","","9;3",,,3,"","",3
14,"CIVE 260","","","4;3",,,3,"","",3
15,"MATH 261","","","10",,,4,"","",3
16,"AUCC 3B","","",,,,3,"","",3
17,"CHEM 245","","","11",,,4,"","",4
18,"CIVE 203","","","13",,,3,"","",4
19,"CIVE 261","","","14",,,3,"","",4
20,"CIVE 360","","","14",,,3,"","",4
21,"MECH 237","","","4;3",,,3,"","",4
22,"AREC 202","","",,,,3,"","",5
23,"CIVE 300","","","19;21","27",,3,"","",5
24,"CIVE 301","","",,"23",,1,"","",5
25,"CIVE 355","","","20",,,3,"","",5
26,"CIVE 356","","",,"25",,1,"","",5
27,"MATH 340","","","15",,,4,"","",5
28,"CIVE 322","","","23;18",,,3,"","",6
29,"CIVE 438","","","23;11",,,3,"","",6
30,"CIVE 442","","","23;11",,,3,"","",6
31,"MIP 300","","","17;5",,,3,"","",6
32,"ADVANCED WRITING","","","2",,,3,"","",6
33,"AUCC 3E","","",,,,3,"","",6
34,"CIVE 401","","","23",,,3,"","",7
35,"CIVE 402","","","23",,,3,"","",7
36,"CIVE 439","","","11",,,3,"","",7
37,"ERHS 446","","","17",,,3,"","",7
38,"ENGINEERING TECHNICAL ELECTIVE 1","","",,,,3,"","",7
39,"AUCC 3D","","",,,,3,"","",7
40,"CIVE 403","","","35",,,3,"","",8
41,"CIVE 441","","","29",,,3,"","",8
42,"TECHNICAL ELECTIVE ","","",,,,3,"","",8
43,"ENGINEERING TECHNICAL ELECTIVE 2","","",,,,3,"","",8
44,"AUCC 3B","","",,,,3,"","",8
