Curriculum,"Environmental Horticulture, Landscape Business Concentration",,,,,,,,,
Degree Plan,"Environmental Horticulture, Landscape Business Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BUS 150","","",,,,3,"","",1
3,"HORT 100","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 125","","",,"5",,1,"","",1
7,"ELECTIVE 1","","",,,,2,"","",1
8,"CHEM 107","","","4",,,4,"","",2
9,"CO 150","","",,,,3,"","",2
10,"HORT 330","","",,,,2,"","",2
11,"SPCM 200","","",,,,3,"","",2
12,"AUCC 3B","","",,,,3,"","",2
13,"ACT 205","","",,,,3,"","",3
14,"AREC 202","","","4",,,3,"","",3
15,"HORT 221","","",,,,4,"","",3
16,"LSPA 100","","",,,,5,"","",3
17,"HORT 331","","",,,,2,"","",4
18,"HORT 487","","",,,,3,"","",4
19,"LSPA 101","","","16",,,5,"","",4
20,"SOCR 240","","","8",,,4,"","",4
21,"AUCC 3D","","",,,,3,"","",4
22,"BUS 205","","",,,,3,"","",5
23,"ECON 204","","","4;14",,,3,"","",5
24,"HORT 310","","",,,,4,"","",5
25,"HORT 322","","",,,,3,"","",5
26,"LSPA 200","","","19",,,3,"","",5
27,"FIN 305","","","23;13",,,3,"","",6
28,"HORT 321","","","3",,,4,"","",6
29,"HORT 370","","","3",,,1,"","",6
30,"JTC 300","","","9",,,3,"","",6
31,"MGT 305","","",,,,3,"","",6
32,"SOCR 370","","","3;20",,,2,"","",6
33,"AREC 328","","","14",,,3,"","",7
34,"BSPM 302","","",,,,2,"","",7
35,"BSPM 303B","","",,"34",,1,"","",7
36,"HORT 341","","","3",,,3,"","",7
37,"HORT 464A","","","3;20",,,3,"","",7
38,"HORT 465","","","4;5;15",,,3,"","",7
39,"BUS 405A","","","31;27",,,3,"","",8
40,"HORT 479","","","3;38",,,2,"","",8
41,"MKT 305","","","14",,,3,"","",8
42,"AUCC 3E","","",,,,3,"","",8
43,"ELECTIVE 2","","",,,,2,"","",8
