Curriculum,"Environmental Horticulture, Landscape Design and Contracting Concentration",,,,,,,,,
Degree Plan,"Environmental Horticulture, Landscape Design and Contracting Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BUS 150","","",,,,3,"","",1
3,"HORT 100","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 125","","",,"5",,1,"","",1
7,"AUCC 3D","","",,,,3,"","",1
8,"ELECTIVE 1","","",,,,2,"","",1
9,"CHEM 107","","","4",,,4,"","",2
10,"CO 150","","",,,,3,"","",2
11,"SPCM 200","","",,,,3,"","",2
12,"AUCC 3B","","",,,,3,"","",2
13,"AUCC 3B","","",,,,3,"","",2
14,"ACT 205","","",,,,3,"","",3
15,"CON 131","","",,,,2,"","",3
16,"HORT 221","","",,,,4,"","",3
17,"HORT 231","","",,,,4,"","",3
18,"SOCR 240","","","9",,,4,"","",3
19,"CON 261","","","15;6",,,3,"","",4
20,"HORT 232","","","17",,,4,"","",4
21,"HORT 487","","",,,,6,"","",4
22,"LAND 120","","",,,,3,"","",4
23,"ELECTIVE 2","","",,,,3,"","",4
24,"AREC 202","","","4",,,3,"","",5
25,"HORT 322","","",,,,3,"","",5
26,"HORT 335","","","15;20",,,4,"","",5
27,"HORT 465","","","4;16;5",,,3,"","",5
28,"ELECTIVE 3","","",,,,1,"","",5
29,"HORT 336","","","26;25;16;5",,,4,"","",6
30,"HORT 370","","","3",,,1,"","",6
31,"SOCR 370","","","3;18",,,2,"","",6
32,"ADVANCED WRITING","","","10",,,3,"","",6
33,"SPANISH","","",,,,5,"","",6
34,"BSPM 302","","",,,,2,"","",7
35,"BSPM 303B","","",,"34",,1,"","",7
36,"HORT 341","","","3",,,3,"","",7
37,"HORT 431","","","25;29;16",,,4,"","",7
38,"HORT 464A","","","3;18",,,3,"","",7
39,"ELECTIVE 4","","",,,,4,"","",7
40,"HORT 432","","","37;21",,,5,"","",8
41,"HORT 479","","","3;27",,,2,"","",8
42,"AUCC 3E","","",,,,3,"","",8
43,"BUSINESS ELECTIVE 1","","",,,,3,"","",8
