Curriculum,"Environmental Horticulture, Turf Management Concentration",,,,,,,,,
Degree Plan,"Environmental Horticulture, Turf Management Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BZ 120","","",,,,4,"","",1
3,"HORT 100","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"AUCC 3E","","",,,,3,"","",1
8,"AREC 202","","","4",,,3,"","",2
9,"CHEM 107","","","4",,,4,"","",2
10,"CHEM 108","","",,"9",,1,"","",2
11,"CO 150","","",,,,3,"","",2
12,"ELECTIVE 1","","",,,,3,"","",2
13,"BUS 150","","",,,,3,"","",3
14,"CHEM 245","","","9",,,4,"","",3
15,"HORT 221","","",,,,4,"","",3
16,"AUCC 3B","","",,,,3,"","",3
17,"HORT 487","","",,,,3,"","",4
18,"SOCR 240","","","9",,,4,"","",4
19,"SPCM 200","","",,,,3,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"HORT 341","","","3",,,3,"","",5
22,"HORT 464A","","","3;18",,,3,"","",5
23,"SOCR 350","","","9;10;18",,,3,"","",5
24,"ADVANCED WRITING","","","11",,,3,"","",5
25,"ELECTIVE 2","","",,,,4,"","",5
26,"BSPM 361","","","3",,,3,"","",6
27,"BZ 440","","","2",,,3,"","",6
28,"HORT 321","","","3",,,4,"","",6
29,"AUCC 3D","","",,,,3,"","",6
30,"ELECTIVE 3","","",,,,4,"","",6
31,"BSPM 302","","",,,,2,"","",7
32,"BSPM 303B","","",,"31",,1,"","",7
33,"BSPM 308","","","9;2",,,3,"","",7
34,"HORT 465","","","4;5;15;6",,,3,"","",7
35,"ELECTIVE 4","","",,,,3,"","",7
36,"ELECTIVE 5","","",,,,3,"","",7
37,"HORT 370","","","3",,,1,"","",8
38,"HORT 441","","","3",,,3,"","",8
39,"MGT 305","","",,,,3,"","",8
40,"SOCR 370","","","3",,,2,"","",8
41,"ELECTIVE 6","","",,,,4,"","",8
42,"ELECTIVE 7","","",,,,3,"","",8
