Curriculum,"Environmental and Natural Resource Economics",,,,,,,,,
Degree Plan,"Environmental and Natural Resource Economics",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"AREC 202","","",,"4",,3,"","",1
3,"CS 110","","",,,,4,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"BZ 110","","",,,,3,"","",2
9,"BZ 111","","",,"8",,1,"","",2
10,"CO 150","","",,,,3,"","",2
11,"ECON 204","","","4",,,3,"","",2
12,"AUCC 3A","","",,,,3,"","",2
13,"ACT 205","","",,,,3,"","",3
14,"MATH 141","","","5",,,3,"","",3
15,"AUCC 3B","","",,,,3,"","",3
16,"AUCC 3D","","",,,,3,"","",3
17,"ELECTIVE 1","","",,,,3,"","",3
18,"SPCM 200","","",,,,3,"","",4
19,"ADVANCED WRITING","","","10",,,3,"","",4
20,"AUCC 3E","","",,,,3,"","",4
21,"NR/AGRI ELECTIVE 1","","",,,,3,"","",4
22,"ELECTIVE 2","","",,,,3,"","",4
23,"ECON 240","","",,,,3,"","",5
24,"AREC 305","","","2;3",,,3,"","",5
25,"AREC 375","","",,,,3,"","",5
26,"STAT 301","","","4",,,3,"","",5
27,"NR/AGRI ELECTIVE 2","","",,,,3,"","",5
28,"AREC 335","","","26;14;11",,,3,"","",6
29,"AREC 340","","","2",,,3,"","",6
30,"ECON 306","","","14;2",,,3,"","",6
31,"NR/AGRI ELECTIVE 3","","",,,,3,"","",6
32,"ELECTIVE 3","","",,,,3,"","",6
33,"AREC 346","","","2",,,3,"","",7
34,"AREC 341","","","2",,,3,"","",7
35,"ECON 304","","","14;11",,,3,"","",7
36,"AREC/ECON ELECTIVE","","",,,,3,"","",7
37,"ELECTIVE 4","","",,,,3,"","",7
38,"AREC 342","","",,,,3,"","",8
39,"AREC 440","","","34;29",,,3,"","",8
40,"AREC 460","","","30",,,3,"","",8
41,"AREC 478","","","2",,,3,"","",8
42,"NR/AGRI ELECTIVE 4","","",,,,3,"","",8
43,"ELECTIVE 5","","",,,,3,"","",8
