Curriculum,"Ethnic Studies, Social Studies Teaching Concentration",,,,,,,,,
Degree Plan,"Ethnic Studies, Social Studies Teaching Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"ETST 100","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"MATHEMATICS","","",,,,3,"","",1
6,"GR 100","","",,,,3,"","",2
7,"ANTH 100","","",,,,3,"","",2
8,"HIST 100","","",,,,3,"","",2
9,"AUCC 3A","","",,,,4,"","",2
10,"ELECTIVE 1","","",,,,2,"","",2
11,"EDUC 275","","",,,,3,"","",3
12,"ETST 240","","",,,,3,"","",3
13,"ECON 211","","",,,,3,"","",3
14,"ETST 250","","",,,,3,"","",3
15,"ETST 252","","",,,,3,"","",3
16,"ETST 300","","",,,,3,"","",4
17,"HIST 101","","",,,,3,"","",4
18,"HIST 150","","",,,,3,"","",4
19,"POLS 101","","",,,,3,"","",4
20,"ADVANCED WRITING","","","1",,,3,"","",4
21,"EDUC 340","","",,,,3,"","",5
22,"EDUC 465","","",,,,4,"","",5
23,"WS 200","","",,,,3,"","",5
24,"ETST 352","","",,,,3,"","",5
25,"ETST 365","","",,,,3,"","",5
26,"EDUC 331","","","11;21",,,2,"","",6
27,"EDUC 350","","","11;21",,,3,"","",6
28,"EDUC 386","","","11;21",,,1,"","",6
29,"GR 320","","","6",,,3,"","",6
30,"ETST 3**/4**","","",,,,3,"","",6
31,"ELECTIVE 2","","",,,,3,"","",6
32,"EDUC 450","","","26;27;28",,,4,"","",7
33,"EDUC 486E","","",,,,1,"","",7
34,"ETST 493","","","14;2;16;15;12",,,3,"","",7
35,"ETST 404","","",,,,3,"","",7
36,"ELECTIVE 3","","",,,,3,"","",7
37,"EDUC 485B","","","32",,,11,"","",8
38,"EDUC 493A","","","32","37",,1,"","",8
39,"ELECTIVE 4","","",,,,3,"","",8
