Curriculum,"Fermentation Science and Technology",,,,,,,,,
Degree Plan,"Fermentation Science and Technology",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 110","","",,,,3,"","",1
2,"BZ 111","","",,"1",,1,"","",1
3,"FSHN 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"AUCC 3B","","",,,,3,"","",1
8,"CO 150","","",,,,3,"","",2
9,"CHEM 107","","","4",,,4,"","",2
10,"CHEM 108","","",,"9",,1,"","",2
11,"MATH 125","","","5",,,1,"","",2
12,"SOC 100","","",,,,3,"","",2
13,"AUCC 3D","","",,,,3,"","",2
14,"BUS 150","","",,,,3,"","",3
15,"CHEM 245","","","9",,,4,"","",3
16,"CHEM 246","","","10","15",,1,"","",3
17,"FTEC 210","","","9;2;1",,,4,"","",3
18,"AUCC 3E","","",,,,4,"","",3
19,"LIFE 205","","","2;1",,,3,"","",4
20,"LIFE 206","","",,"19",,2,"","",4
21,"PH 121","","","11",,,5,"","",4
22,"SPCM 200","","",,,,3,"","",4
23,"AUCC 3B","","",,,,3,"","",4
24,"BC 351","","","15;1",,,4,"","",5
25,"CO 300","","","8",,,3,"","",5
26,"FTEC 360","","","17;15",,,3,"","",5
27,"MIP 334","","","19",,,3,"","",5
28,"RRM 330","","","9",,,2,"","",5
29,"ELECTIVE 1","","",,,,2,"","",5
30,"FTEC 350","","","24",,,2,"","",6
31,"FTEC 447","","","15",,,2,"","",6
32,"FTEC 460","","","5;15",,,3,"","",6
33,"ELECTIVE 2","","",,,,3,"","",6
34,"ELECTIVE 3","","",,,,3,"","",6
35,"ELECTIVE 4","","",,,,3,"","",6
36,"FTEC 487","","",,,,3,"","",7
37,"FTEC 400","","","9",,,3,"","",7
38,"FTEC 465","","","26",,,2,"","",7
39,"FTEC 492","","",,,,2,"","",7
40,"ELECTIVE 5","","",,,,3,"","",7
41,"ELECTIVE 6","","",,,,2,"","",7
42,"FTEC 422","","","26;32",,,2,"","",8
43,"FTEC 440","","","26",,,2,"","",8
44,"FTEC 496A","","","26",,,1,"","",8
45,"FTEC 496B","","","26",,,1,"","",8
46,"STAT 201","","","4",,,3,"","",8
47,"ELECTIVE 7","","",,,,3,"","",8
