Curriculum,"Health and Exercise Science, Sports Medicine Concentration",,,,,,,,,
Degree Plan,"Health and Exercise Science, Sports Medicine Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HES 145","","",,,,3,"","",1
3,"MATH 118","","",,,,1,"","",1
4,"MATH 124","","",,"3",,1,"","",1
5,"LIFE 102","","",,,,4,"","",1
6,"AUCC 3B","","",,,,3,"","",1
7,"FSHN 150","","",,,,3,"","",2
8,"MATH 125","","","3",,,1,"","",2
9,"PSY 100","","",,,,3,"","",2
10,"CHEM 107","","","3",,,4,"","",2
11,"CHEM 108","","",,"10",,1,"","",2
12,"AUCC 3B","","",,,,3,"","",2
13,"HES 207","","","8",,,3,"","",3
14,"SPCM 200","","",,,,3,"","",3
15,"STAT 201","","","3",,,3,"","",3
16,"AUCC 3E","","",,,,3,"","",3
17,"AUCC 3D","","",,,,3,"","",3
18,"BMS 300","","","10;5",,,4,"","",4
19,"BMS 302","","",,"18",,2,"","",4
20,"CHEM 113","","","4;10",,,3,"","",4
21,"CHEM 114","","","11","20",,1,"","",4
22,"ELECTIVE 1","","",,,,3,"","",4
23,"ELECTIVE 2","","",,,,3,"","",4
24,"CHEM 245","","","10",,,4,"","",5
25,"CHEM 246","","","11","24",,1,"","",5
26,"CO 301B","","","1",,,3,"","",5
27,"HES 340","","","7;13;2;18",,,3,"","",5
28,"PH 121","","","8",,,5,"","",5
29,"FSHN 350","","","24;18",,,3,"","",6
30,"HES 307","","","13;28",,,4,"","",6
31,"HES 354","","","2",,,3,"","",6
32,"HES 403","","","5;18",,,4,"","",6
33,"BMS 301","","","5",,,5,"","",7
34,"HES 319","","","13;18",,,4,"","",7
35,"HES 345","","","2",,,3,"","",7
36,"GUIDED ELECTIVE 1","","",,,,3,"","",7
37,"HES 492","","","32;34;27;30",,,3,"","",8
38,"GUIDED ELECTIVE 2","","",,,,4,"","",8
39,"GUIDED ELECTIVE 3","","",,,,3,"","",8
40,"ELECTIVE 3","","",,,,4,"","",8
