Curriculum,"History, Social Studies Teaching Concentration",,,,,,,,,
Degree Plan,"History, Social Studies Teaching Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"HIST 100","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"MATHEMATICS","","",,,,3,"","",1
6,"GR 100","","",,,,3,"","",2
7,"HIST 101","","",,,,3,"","",2
8,"SPCM 200","","",,,,3,"","",2
9,"AUCC 3A","","",,,,4,"","",2
10,"ELECTIVE 1","","",,,,2,"","",2
11,"ANTH 100","","",,,,3,"","",3
12,"EDUC 275","","",,,,3,"","",3
13,"ECON 101","","",,,,3,"","",3
14,"HIST 150","","",,,,3,"","",3
15,"POLS 101","","",,,,3,"","",3
16,"ECON 202","","","5",,,3,"","",4
17,"HIST 151","","",,,,3,"","",4
18,"POLS 241","","",,,,3,"","",4
19,"ADVANCED WRITING","","","1",,,3,"","",4
20,"EDUC 340","","",,,,3,"","",5
21,"EDUC 465","","",,,,4,"","",5
22,"GR 320","","","6",,,3,"","",5
23,"AUCC 4A","","",,,,3,"","",5
24,"UD HIST *** ","","","2",,,3,"","",5
25,"EDUC 331","","","12;20",,,2,"","",6
26,"EDUC 350","","","12;20",,,3,"","",6
27,"EDUC 386","","","12;20",,,1,"","",6
28,"EDUC 450","","",,"26;25;27",,4,"","",6
29,"EDUC 486E","","",,,,1,"","",6
30,"UD HIST ***","","","2",,,3,"","",6
31,"UD HIST ***","","","2",,,3,"","",6
32,"HIST 492","","",,,,3,"","",7
33,"AUCC 3B","","",,,,3,"","",7
34,"UD HIST ***, NON U.S.","","","2",,,3,"","",7
35,"UD HIST ***, U.S.","","","2",,,3,"","",7
36,"ELECTIVE 2","","",,,,3,"","",7
37,"ELECTIVE 3","","",,,,3,"","",7
38,"EDUC 485B","","","28;21",,,11,"","",8
39,"EDUC 493A","","","28;21","38",,1,"","",8
