Curriculum,"Horticulture, Horticultural Food Crops Concentration, Production Option",,,,,,,,,
Degree Plan,"Horticulture, Horticultural Food Crops Concentration, Production Option",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BZ 120","","",,,,4,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"MATH 118","","",,"4",,1,"","",1
6,"MATH 124","","",,"5",,1,"","",1
7,"ELECTIVE 1","","",,,,3,"","",1
8,"AREC 202","","","4",,,3,"","",2
9,"CHEM 107","","","4",,,4,"","",2
10,"CHEM 108","","",,"9",,1,"","",2
11,"HORT 100","","",,,,4,"","",2
12,"ELECTIVE 2","","",,,,4,"","",2
13,"CHEM 245","","","9",,,4,"","",3
14,"SOCR 240","","","9",,,4,"","",3
15,"SPCM 200","","",,,,3,"","",3
16,"AUCC 3B","","",,,,3,"","",3
17,"HORT 260","","","2",,,4,"","",4
18,"STAT 201","","","4",,,3,"","",4
19,"AUCC 3B","","",,,,3,"","",4
20,"AUCC 3D","","",,,,3,"","",4
21,"AUCC 3E","","",,,,3,"","",4
22,"BUS 150","","",,,,3,"","",5
23,"BSPM 302","","",,,,2,"","",5
24,"BSPM 303B","","",,"23",,1,"","",5
25,"HORT 310","","",,,,4,"","",5
26,"SOCR 350","","","9;14;10",,,3,"","",5
27,"ELECTIVE 3","","",,,,3,"","",5
28,"BSPM 361","","","2",,,3,"","",6
29,"BZ 440","","","2",,,3,"","",6
30,"HORT 486B","","",,,,3,"","",6
31,"SOCR 330","","","2",,,3,"","",6
32,"ELECTIVE 4","","",,,,2,"","",6
33,"BSPM  308","","","9;2",,,3,"","",7
34,"HORT 450A","","","2",,,1,"","",7
35,"HORT 450B","","","2",,,1,"","",7
36,"HORT 450C","","","2",,,1,"","",7
37,"HORT 450D","","","2",,,1,"","",7
38,"HORT 460","","","31",,,3,"","",7
39,"ELECTIVE 5","","",,,,5,"","",7
40,"HORT 454","","","11",,,2,"","",8
41,"HORT 476","","","29",,,3,"","",8
42,"SOCR 370","","","14;11",,,2,"","",8
43,"ADVANCED WRITING","","","3",,,3,"","",8
44,"ELECTIVE 6","","",,,,5,"","",8
