Curriculum,"Horticulture, Horticultural Therapy Concentration",,,,,,,,,
Degree Plan,"Horticulture, Horticultural Therapy Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"BZ 120","","",,,,4,"","",1
3,"CO 150","","",,,,3,"","",1
4,"HORT 100","","",,,,4,"","",1
5,"MATH 117","","",,,,1,"","",1
6,"MATH 118","","",,"5",,1,"","",1
7,"MATH 124","","",,"6",,1,"","",1
8,"CHEM 107","","","5",,,4,"","",2
9,"HDFS 101","","",,,,3,"","",2
10,"PSY 100","","",,,,3,"","",2
11,"AUCC 3B","","",,,,3,"","",2
12,"ELECTIVE 1","","",,,,3,"","",2
13,"HORT 270","","",,,,2,"","",3
14,"SPCM 200","","",,,,3,"","",3
15,"HORTICULTURAL SCIENCE COURSE 1","","",,,,4,"","",3
16,"THERAPY/HUMAN SCIENCE COURSE 1","","",,,,3,"","",3
17,"AUCC 3E","","",,,,3,"","",3
18,"HORT 260","","","2",,,4,"","",4
19,"SOCR 240","","","8",,,4,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"THERAPY/HUMAN SCIENCE COURSE 2","","",,,,3,"","",4
22,"HORT 310","","",,,,4,"","",5
23,"BSPM 302","","",,,,2,"","",5
24,"BSPM 303B","","",,"23",,1,"","",5
25,"PSY 320","","","10",,,3,"","",5
26,"THERAPY/HUMAN SCIENCE COURSE 3","","",,,,3,"","",5
27,"ADVANVED WRITING","","","3",,,3,"","",5
28,"HORT 421","","","13",,,2,"","",6
29,"HORT 423","","",,"28",,2,"","",6
30,"PSY 310","","","10",,,3,"","",6
31,"HORTICULTURAL SCIENCE COURSE 2","","",,,,3,"","",6
32,"THERAPY/HUMAN SCIENCE COURSE 4","","",,,,3,"","",6
33,"ELECTIVE 2","","",,,,2,"","",6
34,"STAT 311","","","5",,,3,"","",7
35,"HORT 425","","","29",,,3,"","",7
36,"AUCC 3D","","",,,,3,"","",7
37,"HORTICULTURAL SCIENCE COURSE 3","","",,,,5,"","",7
38,"HORT 377","","","4",,,1,"","",8
39,"HORT 454","","","4",,,2,"","",8
40,"HORT 487","","",,,,3,"","",8
41,"THERAPY/HUMAN SCIENCE COURSE 5","","",,,,3,"","",8
42,"THERAPY/HUMAN SCIENCE COURSE 6","","",,,,3,"","",8
43,"ELECTIVE 3","","",,,,3,"","",8
