Curriculum,"Hospitality Management",,,,,,,,,
Degree Plan,"Hospitality Management",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"FSHN 150","","",,,,3,"","",1
3,"MATH 101","","",,,,3,"","",1
4,"MATH 117","","",,,,1,"","",1
5,"NRRT 270","","",,,,3,"","",1
6,"RRM 101","","",,,,3,"","",1
7,"ECON 202","","","4",,,3,"","",2
8,"BZ 110","","",,,,3,"","",2
9,"BZ 111","","",,"8",,1,"","",2
10,"PSY 100","","",,,,3,"","",2
11,"AUCC 3B","","",,,,3,"","",2
12,"BUS 205","","",,,,3,"","",3
13,"ECON 204","","","7;4",,,3,"","",3
14,"RRM 200","","","6",,,3,"","",3
15,"SPCM 200","","",,,,3,"","",3
16,"CHEM 103","","",,,,3,"","",3
17,"ACT 205","","",,,,3,"","",4
18,"RRM 310","","",,,,3,"","",4
19,"RRM 340","","","6",,,5,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"ELECTIVE 1","","",,,,2,"","",4
22,"FSHN 300","","","2;16",,,3,"","",5
23,"FSHN 301","","",,"22",,2,"","",5
24,"RRM 311","","","18",,,3,"","",5
25,"RRM 330","","","16",,,2,"","",5
26,"RRM 345","","","17",,,3,"","",5
27,"AUCC 3D","","",,,,3,"","",5
28,"MGT 305","","",,,,3,"","",6
29,"MKT 305","","","7",,,3,"","",6
30,"JTC 300","","","1",,,3,"","",6
31,"MGT 310","","",,,,3,"","",6
32,"AUCC 3E","","",,,,3,"","",6
33,"RRM 400","","","10",,,3,"","",7
34,"RRM 410","","","16;18",,,2,"","",7
35,"ELECTIVE 2","","",,,,3,"","",7
36,"ELECTIVE 3","","",,,,3,"","",7
37,"ELECTIVE 4","","",,,,3,"","",7
38,"FIN 305","","","13;17",,,3,"","",8
39,"RRM 492","","","29",,,3,"","",8
40,"ELECTIVE 5","","",,,,3,"","",8
41,"ELECTIVE 6","","",,,,3,"","",8
42,"ELECTIVE 7","","",,,,3,"","",8
