Curriculum,"Landscape Architecture",,,,,,,,,
Degree Plan,"Landscape Architecture",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"BZ 120","","",,,,4,"","",1
2,"CO 150","","",,,,3,"","",1
3,"LAND 110","","",,,,3,"","",1
4,"LAND 230","","",,,,4,"","",1
5,"MATHEMATICS","","",,,,2,"","",1
6,"LAND 120","","",,,,3,"","",2
7,"LAND 240","","","4",,,4,"","",2
8,"LAND 241","","","4",,,3,"","",2
9,"MATH 126","","","5",,,1,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"CHEM 107","","","5",,,4,"","",3
12,"GEOL 120","","",,,,3,"","",3
13,"GEOL 121","","",,"12",,1,"","",3
14,"LIFE 220","","","5;1",,,3,"","",3
15,"LAND 360","","","7",,,3,"","",3
16,"LAND 361","","",,"15",,3,"","",3
17,"LAND 362","","","16",,,3,"","",4
18,"LAND 363","","","15",,,4,"","",4
19,"PSY 100","","",,,,3,"","",4
20,"AUCC 3E","","",,,,3,"","",4
21,"LAND 455","","","17",,,5,"","",5
22,"AREC 202","","","5",,,3,"","",6
23,"LAND 364","","","16",,,4,"","",6
24,"LAND 365","","","18",,,3,"","",6
25,"NR 319","","",,,,4,"","",6
26,"SPCM 200","","",,,,3,"","",6
27,"LAND 366","","","24",,,4,"","",7
28,"LAND 444","","","14",,,3,"","",7
29,"PHIL 345","","",,,,3,"","",7
30,"SOCR 240","","","11",,,4,"","",7
31,"BZ 223","","","1",,,3,"","",8
32,"LAND 392","","","24",,,2,"","",8
33,"LAND 446","","","27",,,4,"","",8
34,"ADVANCED WRITING","","","2",,,3,"","",8
35,"ELECTIVE 1","","",,,,4,"","",8
36,"HORT 368","","","3",,,3,"","",9
37,"LAND 447","","","33",,,4,"","",9
38,"LAND 449","","",,"37",,1,"","",9
39,"AUCC 3B","","",,,,3,"","",9
40,"AUCC 3D","","",,,,3,"","",9
