Curriculum,"Microbiology",,,,,,,,,
Degree Plan,"Microbiology",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"1",,1,"","",1
3,"LIFE 102","","",,,,4,"","",1
4,"MIP 250","","",,"3;1",,3,"","",1
5,"MATH 124","","",,,,1,"","",1
6,"CHEM 113","","","5;1",,,3,"","",2
7,"CHEM 114","","","2","6",,1,"","",2
8,"CO 150","","",,,,3,"","",2
9,"MATH 125","","",,,,1,"","",2
10,"MATH 126","","",,"9",,1,"","",2
11,"ELECTIVE 1","","",,,,3,"","",2
12,"MIP 300","","","3","14",,3,"","",3
13,"MIP 302","","",,"12",,2,"","",3
14,"CHEM 245","","","6",,,4,"","",3
15,"CHEM 246","","","2","14",,1,"","",3
16,"AUCC 3C","","",,,,3,"","",3
17,"ELECTIVE 2","","",,,,2,"","",3
18,"BC 351","","","14;3",,,4,"","",4
19,"MIP 342","","","14;12",,,4,"","",4
20,"MICROBIOLOGY ELECTIVE 1","","",,,,3,"","",4
21,"MICROBIOLOGY ELECTIVE 2","","",,,,2,"","",4
22,"AUCC 3D","","",,,,3,"","",4
23,"PH 121","","","9",,,5,"","",5
24,"MICROBIOLOGY ELECTIVE 3","","","13;21",,,4,"","",5
25,"AUCC 3B","","",,,,3,"","",5
26,"AUCC 3E","","",,,,3,"","",5
27,"ELECTIVE 3","","",,,,2,"","",5
28,"MIP 443","","","12;18",,,4,"","",6
29,"MICROBIOLOGY ELECTIVE 4","","",,,,3,"","",6
30,"MICROBIOLOGY ELECTIVE 5","","",,,,4,"","",6
31,"ADVANCED WRITING","","","8",,,3,"","",6
32,"ELECTIVE 4","","",,,,3,"","",6
33,"MIP 420","","","19;18",,,4,"","",7
34,"MIP 492","","","19",,,2,"","",7
35,"MIP 400A","","","19","33",,2,"","",7
36,"STAT 301","","","5",,,3,"","",7
37,"MICROBIOLOGY ELECTIVE 6","","",,,,3,"","",7
38,"MIP 351","","",,,,3,"","",8
39,"AUCC 3B","","",,,,3,"","",8
40,"MICROBIOLOGY ELECTIVE 7","","","12",,,5,"","",8
41,"ELECTIVE 5","","",,,,5,"","",8
