Curriculum,"Natural Sciences, Physical Science Concentration",,,,,,,,,
Degree Plan,"Natural Sciences, Physical Science Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"MATH 155","","",,,,4,"","",1
3,"AUCC 3C","","",,,,3,"","",1
4,"MINOR REQUIREMENT COURSE 1","","",,,,3,"","",1
5,"MINOR REQUIREMENT COURSE 2","","",,,,3,"","",1
6,"CHEM 111","","","2",,,4,"","",2
7,"CHEM 112","","",,"6",,1,"","",2
8,"MATH 255","","","2",,,4,"","",2
9,"ELECTIVE 1","","",,,,3,"","",2
10,"MINOR REQUIREMENT COURSE 3","","",,,,3,"","",2
11,"CHEM 113","","","2;6",,,3,"","",3
12,"CHEM 114","","","7","11",,1,"","",3
13,"PH 141","","","2",,,5,"","",3
14,"ELECTIVE 2","","",,,,3,"","",3
15,"MINOR REQUIREMENT COURSE 4","","",,,,4,"","",3
16,"PH 142","","","13;8",,,5,"","",4
17,"STAT 301","","","2",,,3,"","",4
18,"MINOR REQUIREMENT COURSE 5","","",,,,4,"","",4
19,"ADVANCED WRITING","","","1",,,3,"","",5
20,"AUCC 3B","","",,,,3,"","",5
21,"AUCC 3E","","",,,,3,"","",5
22,"MINOR REQUIREMENT COURSE 6","","",,,,3,"","",5
23,"MINOR REQUIREMENT COURSE 7","","",,,,3,"","",5
24,"BZ 104","","",,,,3,"","",6
25,"BZ 105","","",,"24",,1,"","",6
26,"AUCC 3D","","",,,,3,"","",6
27,"MINOR REQUIREMENT COURSE 8","","",,,,3,"","",6
28,"MINOR REQUIREMENT COURSE 9","","",,,,3,"","",6
29,"MINOR REQUIREMENT COURSE 10","","",,,,3,"","",6
30,"AUCC 3B","","",,,,3,"","",7
31,"AUCC 4B","","",,,,3,"","",7
32,"ELECTIVE 3","","",,,,3,"","",7
33,"MINOR REQUIREMENT COURSE 11","","",,,,3,"","",7
34,"MINOR REQUIREMENT COURSE 12","","",,,,3,"","",7
35,"CAPSTONE COURSE","","",,,,3,"","",8
36,"USING COMPETENCIES","","",,,,3,"","",8
37,"ELECTIVE 4","","",,,,3,"","",8
38,"MINOR REQUIREMENT COURSE 13","","",,,,3,"","",8
39,"MINOR REQUIREMENT COURSE 14","","",,,,3,"","",8
