Curriculum,"Natural Sciences, Physics Education Concentration",,,,,,,,,
Degree Plan,"Natural Sciences, Physics Education Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CHEM 111","","",,,,4,"","",1
2,"CHEM 112","","",,"1",,1,"","",1
3,"CO 150","","",,,,3,"","",1
4,"MATH 160","","",,,,4,"","",1
5,"AUCC 3D","","",,,,3,"","",1
6,"CHEM 113","","","4;1",,,3,"","",2
7,"CHEM 114","","","2","6",,1,"","",2
8,"MATH 161","","","4",,,4,"","",2
9,"PH 141","","","4",,,5,"","",2
10,"AUCC 3B","","",,,,3,"","",2
11,"AA 100","","",,,,3,"","",3
12,"AA 101","","",,"11",,1,"","",3
13,"LIFE 102","","",,,,4,"","",3
14,"PH 142","","","9;8",,,5,"","",3
15,"AUCC 3B","","",,,,3,"","",3
16,"LIFE 103","","","13",,,4,"","",4
17,"MATH 261","","","8",,,4,"","",4
18,"PH 314","","","14","17",,4,"","",4
19,"ADVANCED WRITING","","","3",,,3,"","",4
20,"CS 150","","","4",,,3,"","",5
21,"EDUC 275","","",,,,3,"","",5
22,"EDUC 340","","",,,,3,"","",5
23,"PH 245","","","14;8",,,3,"","",5
24,"SCIENCE ELECTIVE 1","","",,,,4,"","",5
25,"EDUC 331","","","21;22",,,2,"","",6
26,"EDUC 350","","","21;22",,,3,"","",6
27,"EDUC 386","","","21;22",,,1,"","",6
28,"PH 315","","","18",,,2,"","",6
29,"PH 361","","","14;17",,,3,"","",6
30,"SCIENCE ELECTIVE 2","","",,,,4,"","",6
31,"EDUC 450","","","26;25;27",,,4,"","",7
32,"EDUC 460","","",,,,4,"","",7
33,"EDUC 486E","","",,,,1,"","",7
34,"PH 353","","","14;17",,,4,"","",7
35,"AUCC 3E","","",,,,3,"","",7
36,"EDUC 485B","","","31;32",,,11,"","",8
37,"EDUC 493A","","","31;32","36",,1,"","",8
