Curriculum,"Philosophy, Global Philosophies and Religions Concentration",,,,,,,,,
Degree Plan,"Philosophy, Global Philosophies and Religions Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"PHIL *** LD ELECTIVE","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,3,"","",1
5,"ELECTIVE 1","","",,,,3,"","",1
6,"PHIL *** LD ELECTIVE","","",,,,3,"","",2
7,"AUCC 3A","","",,,,4,"","",2
8,"AUCC 3D","","",,,,3,"","",2
9,"MATHEMATICS","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"PHIL 110","","",,,,3,"","",3
12,"AUCC 3B","","",,,,3,"","",3
13,"AUCC 3C","","",,,,3,"","",3
14,"ELECTIVE 3","","",,,,3,"","",3
15,"ELECTIVE 4","","",,,,3,"","",3
16,"PHIL *** ELECTIVE 1","","",,,,3,"","",4
17,"PHIL *** ELECTIVE 2","","",,,,3,"","",4
18,"ADVANCED WRITING","","","1",,,3,"","",4
19,"ELECTIVE 5","","",,,,4,"","",4
20,"ELECTIVE 6","","",,,,3,"","",4
21,"PHIL 300","","","2",,,3,"","",5
22,"PHIL 270","","",,,,3,"","",5
23,"PHIL 335","","",,,,3,"","",5
24,"ELECTIVE 6","","",,,,3,"","",5
25,"ELECTIVE 8","","",,,,2,"","",5
26,"PHIL 301","","","2",,,3,"","",6
27,"ELECTIVE 9","","",,,,3,"","",6
28,"ELECTIVE 10","","",,,,3,"","",6
29,"ELECTIVE 11","","",,,,4,"","",6
30,"PHIL 349","","",,,,3,"","",7
31,"PHIL 360","","",,,,3,"","",7
32,"ELECTIVE 12","","",,,,3,"","",7
33,"ELECTIVE 13","","",,,,3,"","",7
34,"ELECTIVE 14","","",,,,3,"","",7
35,"PHIL 462","","","26;21",,,3,"","",8
36,"ELECTIVE 15","","",,,,4,"","",8
37,"ELECTIVE 16","","",,,,4,"","",8
38,"ELECTIVE 17","","",,,,5,"","",8
