Curriculum,"Political Science",,,,,,,,,
Degree Plan,"Political Science",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"POLS 101","","",,,,3,"","",1
3,"AUCC 3B","","",,,,3,"","",1
4,"AUCC 3A","","",,,,4,"","",1
5,"ELECTIVE 1","","",,,,2,"","",1
6,"POLS 103","","",,,,3,"","",2
7,"AUCC 3B","","",,,,3,"","",2
8,"AUCC 3D","","",,,,3,"","",2
9,"MATHEMATICS","","",,,,3,"","",2
10,"ELECTIVE 2","","",,,,3,"","",2
11,"POLS 232","","",,,,3,"","",3
12,"AUCC 3A","","",,,,3,"","",3
13,"SUPPORT OPTION COURSE 1","","",,,,3,"","",3
14,"SUPPORT OPTION COURSE 2","","",,,,3,"","",3
15,"ELECTIVE 1","","",,,,3,"","",3
16,"ELECTIVE 2","","",,,,3,"","",3
17,"POLS 241","","",,,,3,"","",4
18,"CO 300","","",,,,3,"","",4
19,"POLS *** UD 1","","","2",,,3,"","",4
20,"ELECTIVE 3","","",,,,3,"","",4
21,"ELECTIVE 4","","",,,,3,"","",4
22,"POLS *** AUCC 4A/4B","","",,,,3,"","",5
23,"POLS *** UD 2","","","2",,,3,"","",5
24,"SUPPORT OPTION COURSE 3","","",,,,3,"","",5
25,"SUPPORT OPTION COURSE 4","","",,,,3,"","",5
26,"ELECTIVE 5","","",,,,3,"","",5
27,"POLS *** UD 3","","","2",,,3,"","",6
28,"POLS *** UD 4","","","2",,,3,"","",6
29,"POLS *** UD 5","","",,,,3,"","",6
30,"SUPPORT OPTION COURSE 5","","",,,,3,"","",6
31,"ELECTIVE 6","","",,,,3,"","",6
32,"POLS *** UD 6","","","11",,,3,"","",7
33,"POLS *** UD 7","","","11",,,3,"","",7
34,"SUPPORT OPTION COURSE 6","","",,,,3,"","",7
35,"SUPPORT OPTION COURSE 7","","",,,,3,"","",7
36,"POLS 492","","",,,,3,"","",8
37,"POLS *** UD 8","","",,,,3,"","",8
38,"SUPPORT OPTION COURSE 8","","",,,,3,"","",8
39,"ELECTIVE 7","","",,,,3,"","",8
40,"ELECTIVE 8","","",,,,3,"","",8
