Curriculum,"Soil and Crop Sciences",,,,,,,,,
Degree Plan,"Soil and Crop Sciences",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"AGRI 192","","",,,,1,"","",1
2,"CHEM 107","","",,"5",,4,"","",1
3,"CHEM 108","","",,"2",,1,"","",1
4,"CO 150","","",,,,3,"","",1
5,"MATH 117","","",,,,1,"","",1
6,"MATH 118","","",,"5",,1,"","",1
7,"MATH 124","","",,"6",,1,"","",1
8,"SOCR 100","","",,,,4,"","",1
9,"PH 110","","",,,,3,"","",2
10,"PHIL 110","","",,,,3,"","",2
11,"AREC/ECON AUCC 3C","","",,,,3,"","",2
12,"BIOLOGY AUCC 3A","","",,,,4,"","",2
13,"CHEM 245","","","2",,,4,"","",3
14,"CHEM 246","","","3","13",,1,"","",3
15,"SOCR 240","","","2",,,4,"","",3
16,"SPCM 200","","",,,,3,"","",3
17,"TECHNICAL ELECTIVE 1","","",,,,3,"","",3
18,"FSHN 125","","",,,,2,"","",4
19,"LAND 220","","","7;5;12;6",,,3,"","",4
20,"AUCC 3B","","",,,,3,"","",4
21,"AUCC 3E","","",,,,3,"","",4
22,"TECHNICAL ELECTIVE 2","","",,,,4,"","",4
23,"JTC 300","","","4",,,3,"","",5
24,"SOCR 330","","","12",,,3,"","",5
25,"STAT ***","","","5",,,3,"","",5
26,"SOIL AND CROP SCIENCES ELECTIVE 1","","",,,,3,"","",5
27,"TECHNICAL ELECTIVE 3","","",,,,3,"","",5
28,"BZ 440","","","12",,,3,"","",6
29,"BZ 441","","",,"28",,2,"","",6
30,"SOIL AND CROP SCIENCES ELECTIVE 2","","",,,,3,"","",6
31,"TECHNICAL ELECTIVE 4","","",,,,4,"","",6
32,"TECHNICAL ELECTIVE 5","","",,,,3,"","",6
33,"SOCR 421","","","8;15",,,4,"","",7
34,"SOCR 486","","",,,,1,"","",7
35,"SOCR 492","","",,,,1,"","",7
36,"AUCC 3D","","",,,,3,"","",7
37,"TECHNICAL ELECTIVE 6","","",,,,3,"","",7
38,"ELECTIVE 1","","",,,,3,"","",7
39,"SOIL AND CROP SCIENCES ELECTIVE 3","","",,,,4,"","",8
40,"TECHNICAL ELECTIVE 7","","",,,,5,"","",8
41,"ELECTIVE 2","","",,,,4,"","",8
42,"ELECTIVE 3","","",,,,3,"","",8
