Curriculum,"Theatre, Performance Concentration",,,,,,,,,
Degree Plan,"Theatre, Performance Concentration",,,,,,,,,
Institution,"",,,,,,,,,
Degree Type,"BS",,,,,,,,,
System Type,"semester",,,,,,,,,
CIP,"26.0101",,,,,,,,,
Courses,,,,,,,,,,
Course ID,Course Name,Prefix,Number,Prerequisites,Corequisites,Strict-Corequisites,Credit Hours,Institution,Canonical Name,Term
1,"CO 150","","",,,,3,"","",1
2,"TH 150","","",,,,3,"","",1
3,"TH 186","","",,,,1,"","",1
4,"TH 192","","",,,,3,"","",1
5,"ART 100","","",,,,3,"","",1
6,"ELECTIVE 1","","",,,,3,"","",1
7,"TH 151","","","2",,,3,"","",2
8,"TH 161","","",,,,3,"","",2
9,"D 110","","",,,,3,"","",2
10,"MATHEMATICS","","",,,,3,"","",2
11,"ELECTIVE 2","","",,,,3,"","",2
12,"CO 301A","","","1",,,3,"","",3
13,"TH 241","","","2",,,3,"","",3
14,"TH 242","","",,"13",,3,"","",3
15,"TH 251","","","7",,,3,"","",3
16,"AUCC 3A","","",,,,3,"","",3
17,"TH 243","","","14",,,3,"","",4
18,"TH 250","","","2",,,3,"","",4
19,"TH 255","","","7;13",,,3,"","",4
20,"TH 286","","","3",,,1,"","",4
21,"AUCC 3A","","",,,,4,"","",4
22,"ELECTIVE 3","","",,,,3,"","",4
23,"TH 386","","","20",,,1,"","",5
24,"TH 344","","",,,,3,"","",5
25,"AUCC 3E","","",,,,3,"","",5
26,"AUCC 3D","","",,,,3,"","",5
27,"ELECTIVE 4","","",,,,3,"","",5
28,"ELECTIVE 5","","",,,,3,"","",5
29,"TH 350","","","15",,,3,"","",6
30,"TH 400","","",,,,1,"","",6
31,"TH 351","","","15",,,3,"","",6
32,"UD ELECTIVE 1","","",,,,3,"","",6
33,"UD ELECTIVE 2","","",,,,3,"","",6
34,"TH 400","","",,,,1,"","",7
35,"TH 450","","","31",,,3,"","",7
36,"AUCC 3C","","",,,,3,"","",7
37,"ELECTIVE 6","","",,,,4,"","",7
38,"ELECTIVE 7","","",,,,4,"","",7
39,"TH 400","","",,,,1,"","",8
40,"TH 451","","","31",,,3,"","",8
41,"TH 471","","",,,,3,"","",8
42,"ELECTIVE 8","","",,,,3,"","",8
43,"ELECTIVE 9","","",,,,3,"","",8
