Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
CHEM 115,1,MATH 121G,,4,
CHEM 242,1,,,1,
Area IV,1,,,3,
ENGL 218G,2,ENGL 111G,,3,
MATH 192G,2,MATH 191G,,4,
CHEM 116,2,CHEM 115,,4,
Area V,2,,,3,
Elective,2,,,3,
MATH 291G,3,MATH 192G,,3,
CHEM 313,3,CHEM 116,,3,
CHEM 371,3,CHEM 116,,4,
PHYS 213+L,3,,MATH 191G,4,
Elective,3,,,3,
COMM 265G,4,,,3,
CHEM 314,4,CHEM 313,,3,
CHEM 315,4,CHEM 313,CHEM 314,2,
PHYS 214+L,4,"PHYS 213+L, MATH 191G",MATH 192G,4,
MATH/STAT/CS Elective,4,,,3,
CHEM 356,5,"CHEM 116, CHEM 313",,3,
CHEM 433,5,"CHEM 116, MATH 192G, PHYS 214",,3,
PHYS 315,5,"MATH 291G, PHYS 214",,3,
Area VI,5,,,3,
VWW,5,,,3,
CHEM 434,6,CHEM 433,,3,
CHEM 435,6,,CHEM 434,2,
CHEM 357,6,CHEM 356,,2,
Elective,6,,,3,
Elective,6,,,3,
Elective,6,,,3,
CHEM 471,7,"CHEM 371, PHYS 214",,4,
BCHE 341,7,CHEM 313,,3,
VWW,7,,,3,
Elective,7,,,3,
CHEM 443,8,CHEM 433,,1,
CHEM 456,8,"CHEM 356, CHEM 433",,3,
Elective,8,,,3,
Elective,8,,,3,
Elective,8,,,1,
