Name,Term,Prerequisites,Corequisites,Credits,Passrate
MATH 191G,1,MATH 190G,,4,
CHEM 111G,1,MATH 120,,4,
ENGL 111G,1,,,4,
ENGR 100G,1,,MATH 121G,3,
MATH 192G,2,MATH 191G,,4,
C E 151,2,MATH 121G,,3,
PHYS 215G+L,2,MATH 191G,,4,
GEOL 111G,2,,,4,
MATH 291G,3,MATH 192G,,3,
ENGR 233,3,MATH 192G,PHYS 215G+L,3,
ENGL 218G,3,ENGL 111G,,3,
DRFT 143,3,DRFT 109,,3,
COMM 265G,3,,,3,
MATH 392,4,MATH 192G,,3,
C E 301,4,ENGR 233,,3,
ENGR 234,4,ENGR 233,MATH 291G,3,
C E 256+L,4,"CHEM 111G, MATH 191G",,4,
SUR 222,4,MATH 190G,,3,
Area V,5,,,3,
C E 356,5,C E 256+L,,3,
C E 315,5,C E 301,,4,
C E 331+L,5,"PHYS 215G+L, ENGR 233",,4,
C E 357,5,"GEOL 111G, C E 301",,3,
C E 311,6,C E 301,,3,
C E 382,6,C E 331+L,,3,
STAT 371,6,MATH 192G,,3,
ECON 251G,6,,,3,
PHYS 216G+L,6,"PHYS 215G+L, MATH 192G",,4,
C E 445,7,C E 315,C E 311,3,
C E 477,7,"STAT 371, C E 357",,3,
VWW,7,,,3,
C E 452 or 460 or 470 or 479,7,C E 357,,3,
Area VI,7,,,3,
C E 452 or 460 or 470 or 479,8,C E 357,,3,
C E 485,8,"C E 357, C E 382",,3,
C E 457,8,C E 357,,3,
C E 471,8,MATH 291G,,3,
VWW,8,,,3,
