Name,Term,Prerequisites,Corequisites,Credits,Passrate
ENGL 111G,1,,,4,
MATH 191G,1,MATH 190G,,4,
PHYS 213+L,1,,MATH 191G,4,
ENGR 100G,1,,MATH 121G,3,
MATH 192G,2,MATH 191G,,4,
CHEM 111G,2,MATH 120,,4,
PHYS 214+L,2,"PHYS 213+L, MATH 191G",MATH 192G,4,
E E 100,2,,MATH 190G,4,
MATH 291G,3,MATH 192G,,3,
PHYS 217+L,3,"PHYS 213+L, MATH 191G",,4,
E E 112,3,,E E 100,4,
ENGL 218G,3,ENGL 111G,,3,
MATH 392,4,MATH 192G,,3,
PHYS 315,4,"MATH 291G, PHYS 214",,3,
PHYS 325,4,,PHYS 315,3,
E E 212,4,"E E 100, MATH 190G",E E 112,4,
E E 200,4,"E E 112, MATH 192G",,4,
PHYS 395,5,MATH 291G,MATH 392,3,
PHYS 451,5,PHYS 213,MATH 392,3,
PHYS 461,5,"PHYS 214, MATH 291G","PHYS 395, MATH 392",3,
E E 230,5,"E E 100, MATH 192G",PHYS 216G,4,
COMM 265G,5,,,3,
PHYS 480,6,"PHYS 217, PHYS 315, MATH 291G",,3,
PHYS 462,6,"PHYS 395, PHYS 461, MATH 392",,3,
E E 317,6,"E E 230, CHEM 111G",,4,
E E 320,6,"E E 200, E E 230",MATH 392,3,
Area IV,6,,,3,
PHYS 454,7,PHYS 315,"PHYS 395, MATH 392",3,
ENGR 401,7,,,3,
Area V,7,,,3,
VWW,7,,,3,
Technical Elective,7,,,3,
PHYS 455,8,"PHYS 395, PHYS 454, MATH 392",,3,
PHYS 471 or PHYS 475 or PHYS 493,8,PHYS 315,,3,
ENGR 402,8,ENGR 401,,3,
Area VI,8,,,3,
VWW,8,,,3,
